dataset,hparam,value,tag,test_auc,test_acc,test_rmse
assist_09,dropout,0.1,hparam_assist_09_dropout_0p1,0.7920335622781649,0.7489961749985727,0.4653530696504104
assist_09,dropout,0.2,hparam_assist_09_dropout_0p2,0.7922332598320578,0.7478163238120611,0.4599723247568251
assist_09,dropout,0.3,hparam_assist_09_dropout_0p3,0.7894415590488214,0.7471122190717235,0.4544270979071526
assist_09,dropout,0.4,hparam_assist_09_dropout_0p4,0.7799134758540722,0.7345715427505757,0.4442422621358475
assist_09,dropout,0.5,hparam_assist_09_dropout_0p5,0.7635873082374779,0.7249995242535539,0.4310986667973471
assist_17,dropout,0.1,hparam_assist_17_dropout_0p1,0.8001319416393029,0.728076525336091,0.4248295568443249
assist_17,dropout,0.2,hparam_assist_17_dropout_0p2,0.800207830104525,0.7275206825232678,0.42472258026437
assist_17,dropout,0.3,hparam_assist_17_dropout_0p3,0.8005094908342454,0.7287616339193381,0.4247255624327634
assist_17,dropout,0.4,hparam_assist_17_dropout_0p4,0.7989434896104799,0.727171664943123,0.4254387168917311
assist_17,dropout,0.5,hparam_assist_17_dropout_0p5,0.7970997244084229,0.7259436401240952,0.427144623832266
junyi,dropout,0.1,hparam_junyi_dropout_0p1,0.8124984015966981,0.7701062900846105,0.3989704158470602
junyi,dropout,0.2,hparam_junyi_dropout_0p2,0.814287501909172,0.7745927554123634,0.3965764807843663
junyi,dropout,0.3,hparam_junyi_dropout_0p3,0.8125079637076287,0.7708891632290507,0.3983132598752384
junyi,dropout,0.4,hparam_junyi_dropout_0p4,0.8120671063576907,0.7692631959290597,0.4001153883800002
junyi,dropout,0.5,hparam_junyi_dropout_0p5,0.8113714187514521,0.7664930294179639,0.401827416072368
assist_09,embedding_dim,128.0,hparam_assist_09_embedding_dim_128,0.7776806385341288,0.7353517669223011,0.4542611938791588
assist_09,embedding_dim,192.0,hparam_assist_09_embedding_dim_192,0.7675739663734299,0.7281775105139965,0.4275315208693514
assist_09,embedding_dim,256.0,hparam_assist_09_embedding_dim_256,0.789123883880614,0.7486726674151744,0.4538414979534856
assist_09,embedding_dim,320.0,hparam_assist_09_embedding_dim_320,0.7898913014760982,0.7459894574587528,0.4563751565070447
assist_09,embedding_dim,384.0,hparam_assist_09_embedding_dim_384,0.7903405170521646,0.7470360996403357,0.4562847039336467
assist_17,embedding_dim,128.0,hparam_assist_17_embedding_dim_128,0.8001499235010772,0.7290589451913133,0.424791077143678
assist_17,embedding_dim,192.0,hparam_assist_17_embedding_dim_192,0.799673843937854,0.7275982419855223,0.4250797477400937
assist_17,embedding_dim,256.0,hparam_assist_17_embedding_dim_256,0.8006112692848952,0.728852119958635,0.4247726779146628
assist_17,embedding_dim,320.0,hparam_assist_17_embedding_dim_320,0.8002614716487064,0.7291235780765254,0.4252281270925173
assist_17,embedding_dim,384.0,hparam_assist_17_embedding_dim_384,0.8002471521932224,0.7298733195449845,0.4248078795565237
junyi,embedding_dim,128.0,hparam_junyi_embedding_dim_128,0.8089289725309659,0.7648369516124176,0.4035220992241957
junyi,embedding_dim,192.0,hparam_junyi_embedding_dim_192,0.8123079142815804,0.7716419258679353,0.3994062091829461
junyi,embedding_dim,256.0,hparam_junyi_embedding_dim_256,0.8136875612294885,0.7707386107012737,0.3988927409614907
junyi,embedding_dim,320.0,hparam_junyi_embedding_dim_320,0.8123523613217747,0.7678480021679563,0.3994018813982907
junyi,embedding_dim,384.0,hparam_junyi_embedding_dim_384,0.8141395219516585,0.7729366776068171,0.3972971623298493
assist_09,ortho_weight,0.1,hparam_assist_09_ortho_weight_0p1,0.7891113635113298,0.7479685626748368,0.4538872982408679
assist_09,ortho_weight,0.3,hparam_assist_09_ortho_weight_0p3,0.7893052640907428,0.7486536375573275,0.4536883206915142
assist_09,ortho_weight,0.5,hparam_assist_09_ortho_weight_0p5,0.7886691975911383,0.7483301299739291,0.4540846790743693
assist_09,ortho_weight,0.7,hparam_assist_09_ortho_weight_0p7,0.7871637452305182,0.740927515271461,0.4495923023313258
assist_09,ortho_weight,1.0,hparam_assist_09_ortho_weight_1,0.7885730408005791,0.749833488743839,0.4541892674565128
assist_17,ortho_weight,0.1,hparam_assist_17_ortho_weight_0p1,0.8005018351733252,0.7289296794208894,0.4248553015712268
assist_17,ortho_weight,0.3,hparam_assist_17_ortho_weight_0p3,0.8006633502429071,0.7291494312306102,0.4247560670586628
assist_17,ortho_weight,0.5,hparam_assist_17_ortho_weight_0p5,0.8007607095777303,0.7296147880041365,0.4247160720476932
assist_17,ortho_weight,0.7,hparam_assist_17_ortho_weight_0p7,0.8003679936162219,0.7287357807652534,0.4248188937212417
assist_17,ortho_weight,1.0,hparam_assist_17_ortho_weight_1,0.800817761744132,0.7295113753877973,0.4246759504610203
junyi,ortho_weight,0.1,hparam_junyi_ortho_weight_0p1,0.8121858568712872,0.7723645780012647,0.3986467485173969
junyi,ortho_weight,0.3,hparam_junyi_ortho_weight_0p3,0.8124303722101167,0.7721236939568216,0.3985249479482478
junyi,ortho_weight,0.5,hparam_junyi_ortho_weight_0p5,0.8135643651730909,0.7706181686790521,0.3988287071051912
junyi,ortho_weight,0.7,hparam_junyi_ortho_weight_0p7,0.8136858564057634,0.7696245219957243,0.3988733338859475
junyi,ortho_weight,1.0,hparam_junyi_ortho_weight_1,0.8123069371009459,0.7720333624401554,0.3984845451555351
