dataset,model,ratio,pseudo_auc_delta_mean,pseudo_auc_delta_std,stress_auc_delta_mean,stress_auc_delta_std,pseudo_acc_delta_mean,pseudo_acc_delta_std,stress_acc_delta_mean,stress_acc_delta_std,flipped_mean_p_pred_mean,flipped_mean_p_pred_std,flipped_p75_decoupling_gap_mean,flipped_p75_decoupling_gap_std,flipped_p90_decoupling_gap_mean,flipped_p90_decoupling_gap_std,pseudo_calibrated_acc_delta_mean,pseudo_calibrated_acc_delta_std,stress_calibrated_acc_delta_mean,stress_calibrated_acc_delta_std,pseudo_balanced_acc_delta_mean,pseudo_balanced_acc_delta_std,stress_balanced_acc_delta_mean,stress_balanced_acc_delta_std
assist_09,NeuralCD,0.1,-0.0002236361984825,1.6586221481841185e-05,-0.0377171438045207,0.00445316650409815,-0.0001332090049286,0.0,-0.04861111111111107,5.5075762930801937e-17,0.9082226441020058,0.02115371235309175,-0.32678687075773877,0.03061844022658923,-0.29685867826143897,0.015084267741043269,-0.0001332090049287,0.0,-0.04861111111111107,5.658496737247252e-17,-0.0001567855164938,0.0,-0.029740975152367535,0.001548547850647504
assist_09,Prism-CD,0.1,1.4280164836733e-05,2.1762201273302207e-06,-0.0024350759934445,0.006517158558060439,-0.0001332090049287,0.0,-0.04861111111111107,5.5075762930801937e-17,0.6764173081942967,0.013194258780201543,0.056030089656511906,0.04694734579842628,0.1071390549341837,0.061818467668476144,-0.0001332090049287,0.0,-0.04861111111111107,5.658496737247252e-17,6.710820427498672e-05,2.4436124630891925e-05,0.013497150997150965,0.008827266853871961
assist_09,NeuralCD,0.2,-0.00042548882665469995,6.710222049402497e-05,-0.06021988781305587,0.0401462870355909,-0.0002664180098573,0.0,-0.0972222222222222,0.0,0.890264542329879,0.03428006445084945,-0.29731271664301556,0.030629595308718238,-0.23573545813560481,0.05493053580612746,-0.0002664180098573,0.0,-0.0972222222222222,0.0,-0.0003134829728929,0.0,-0.05464039621016357,0.0028450065163057587
assist_09,Prism-CD,0.2,2.301999167553248e-05,2.763144890429892e-06,-0.0214547836618583,0.007863059976556175,-0.0002664180098574,0.0,-0.09722222222222222,5.099024833164444e-17,0.693462746483939,0.007946065890957537,0.05348778019348773,0.04600761415090185,0.15740098953247073,0.025965804935188443,-0.0002664180098574,0.0,-0.0972222222222222,0.0,9.190930002084885e-05,6.463975542861997e-05,0.013946434405536232,0.02123857255629716
assist_09,NeuralCD,0.3,-0.0006956619913030333,3.9425294787309264e-05,-0.095876072585588,0.03199950333389457,-0.000418656872633,0.0,-0.1527777777777778,0.0,0.9039263725280762,0.010456543551712565,-0.30728403975566226,0.008469492722570512,-0.283238669236501,0.010353453254916229,-0.000418656872633,0.0,-0.1527777777777778,0.0,-0.0004924581103655,0.0,-0.07855594956658786,0.004090237331953299
assist_09,Prism-CD,0.3,3.565064999348314e-05,4.82356212389509e-06,-0.0309176079152438,0.01513618291927457,-0.0004186568726332,0.0,-0.1527777777777778,0.0,0.6942246863336274,0.009096884800081171,0.07332742959260936,0.045389990508154676,0.12999916275342308,0.04693583687668752,-0.0004186568726332,0.0,-0.1527777777777778,0.0,7.999166403724786e-05,4.8852576351726537e-05,0.0010421591804570668,0.015364623385918567
assist_17,NeuralCD,0.1,-6.353350070076313e-05,9.525296290662049e-07,-0.04573045267489703,0.008955461087313309,-3.877973112720312e-05,0.0,-0.05555555555555547,5.658496737247252e-17,0.8505125112003751,0.010641901895167031,-0.2576561172803243,0.00743743053012663,-0.25067081054051715,0.0035743480291927573,-3.877973112720312e-05,0.0,-0.0555555555555555,0.0,-3.835795645157347e-05,0.0,-0.037037037037037,0.001851851851851799
assist_17,Prism-CD,0.1,-3.7049124876675776e-05,1.0558399935822221e-06,-0.025634430727023334,0.0018288465879249547,-3.877973112720312e-05,0.0,-0.0555555555555555,0.0,0.689557519223955,0.00710434685871132,-0.0411756038665771,0.021206071222963842,0.005476593971252434,0.008106868431620411,-3.87797311270921e-05,0.0,-0.0555555555555555,0.0,-3.7941710855804445e-05,0.0,-0.03395061728395054,0.0010691671651660568
assist_17,NeuralCD,0.2,-0.00010823241464236666,1.9974194247681495e-06,-0.08672371866816314,0.012866805667415717,-6.46328852119682e-05,0.0,-0.09259259259259255,6.206335383118183e-17,0.8651508847872416,0.012474646990282626,-0.26190811395645136,0.009389679924737295,-0.25506409406661984,0.006299952818611021,-6.463288521207922e-05,0.0,-0.09259259259259256,5.805495157760157e-17,-6.392945400590655e-05,0.0,-0.057870370370370294,0.002893518518518501
assist_17,Prism-CD,0.2,-5.985973015428433e-05,1.3846107861002044e-06,-0.03247365631624887,0.0064754675561164154,-6.46328852119682e-05,0.0,-0.09259259259259256,5.721958498152797e-17,0.6813588341077169,0.005801871751848351,-0.07072530190149937,0.034923960661253264,0.0025185902913411333,0.013969584264501265,-6.46328852119682e-05,0.0,-0.09259259259259256,5.721958498152797e-17,-6.323548041720084e-05,0.0,-0.05304783950617273,0.0016705736955718808
