dataset,model,ratio,pseudo_auc_delta_mean,pseudo_auc_delta_std,stress_auc_delta_mean,stress_auc_delta_std,pseudo_acc_delta_mean,pseudo_acc_delta_std,stress_acc_delta_mean,stress_acc_delta_std,flipped_mean_p_pred_mean,flipped_mean_p_pred_std,flipped_p75_decoupling_gap_mean,flipped_p75_decoupling_gap_std,flipped_p90_decoupling_gap_mean,flipped_p90_decoupling_gap_std
assist_09,NeuralCD,0.1,-0.0039235386469922,2.9289624044480286e-05,-0.039329866733433035,0.0009214121826197402,-0.0020171649317779,0.0,-0.0499058380414312,0.0,0.9415049427335367,0.0030469879165910185,-0.36704011758168537,0.009681938816927638,-0.31051576137542725,0.007585704224003875
assist_09,Prism-CD,0.1,-0.0034202331351367667,7.555563019038759e-05,-0.0400578466759366,0.0013570016642384546,-0.0020171649317779,0.0,-0.04990583804143126,5.5075762930801937e-17,0.9903518032727753,0.002717244298141313,-0.20380800465742743,0.014862886992962239,-0.12945339083671567,0.007422148179941487
assist_09,NeuralCD,0.2,-0.007884670847408766,6.176489480037393e-05,-0.07447795302792597,0.0013086640081113239,-0.0040343298635558,0.0,-0.09981167608286245,5.721958498152797e-17,0.9434317919255802,0.002968523349468209,-0.36479608714580536,0.004964130601739902,-0.31135902653137837,0.005775869762631438
assist_09,Prism-CD,0.2,-0.006725279881503333,9.569977465880593e-05,-0.07256516290623667,0.002714343638705794,-0.0040343298635558,0.0,-0.09981167608286245,5.805495157760157e-17,0.9881829430097304,0.0009402146172866532,-0.21039736270904538,0.006989835192798408,-0.14566022753715507,0.012964879063962056
assist_09,NeuralCD,0.3,-0.012012746950901201,5.944116055865162e-05,-0.1099464535980512,0.0026677114300564333,-0.006070524653180799,0.0,-0.1501883239171374,0.0,0.947806939685108,0.0010569712799768651,-0.3727607826391856,0.0020796478914397306,-0.3211847980817159,0.013123129194890571
assist_09,Prism-CD,0.3,-0.0102270335561945,0.00019801465236887956,-0.1046948564438593,0.005422764484444756,-0.006070524653180799,0.0,-0.15018832391713746,4.8074067159589095e-17,0.9884862709194889,0.001534371845951679,-0.20311448971430457,0.004498372192719368,-0.13672603766123453,0.011476302977433081
assist_17,NeuralCD,0.1,-0.0002696827655979667,5.076300372923523e-06,-0.038725203270694265,0.004035047863012809,-0.0001551189245088,0.0,-0.04838709677419357,5.908255262090379e-17,0.895474856098493,0.011431237051526814,-0.283153901497523,0.01720659132079578,-0.2548380593458811,0.01760088317020194
assist_17,Prism-CD,0.1,-0.0002663507600770333,2.9326411393413127e-06,-0.045099273450275,0.005983578508639931,-0.0001551189245088,0.0,-0.0483870967741935,0.0,0.9219325698084302,0.006863191403925091,-0.18784196178118384,0.050924403968854864,-0.15729774634043373,0.046599179538229375
assist_17,NeuralCD,0.2,-0.0005706733489410999,1.0501599184052713e-05,-0.08247052387707397,0.02066318232958026,-0.0003231644260599,0.0,-0.1008064516129032,0.0,0.9061775954564412,0.014123872435879902,-0.3368743062019348,0.02050536803126021,-0.2779876748720804,0.020881266029400866
assist_17,Prism-CD,0.2,-0.0005583301754973334,2.0788805993701713e-06,-0.09331339271095457,0.0028577254379335945,-0.0003231644260599,0.0,-0.1008064516129032,0.0,0.9260435469945273,0.0024920521382137493,-0.20805253585179648,0.004022920201349596,-0.16506278514862052,0.011214689968738567
assist_17,NeuralCD,0.3,-0.0008479440432682667,1.02727920336882e-05,-0.11894291785527873,0.013061559667061347,-0.0004782833505687,0.0,-0.14919354838709672,6.206335383118183e-17,0.9091359226553289,0.008170287988489903,-0.3187199831008911,0.013772730316728753,-0.25564218759536744,0.014151741366649219
assist_17,Prism-CD,0.3,-0.0008169585829916667,4.84388226975739e-06,-0.1109482314117704,0.008599292698595643,-0.0004782833505687,0.0,-0.1491935483870967,0.0,0.9183993645616481,0.0035352996402613383,-0.1912102897961934,0.03436369007286059,-0.14284120400746658,0.013172540324047535
junyi,NeuralCD,0.1,-0.003261813262591067,0.00015707493642281269,-0.0422822927977853,0.005018591484060414,-0.0016259672999909,0.0,-0.04972375690607737,6.206335383118183e-17,0.9335860131699363,0.009968420354403169,-0.36452168226242065,0.011186298149856515,-0.3405611137549082,0.024214564579429734
junyi,Prism-CD,0.1,-0.0031435642392617998,7.994945064699879e-05,-0.03933414646676763,0.00343199293966472,-0.0016259672999909,0.0,-0.04972375690607733,6.009258394948638e-17,0.9270982260321393,0.005263369120676296,-0.20174400011698404,0.01501944799521553,-0.128981065750122,0.007300354696798373
junyi,NeuralCD,0.2,-0.0064110669600833,0.00010826081726590869,-0.0718708693288469,0.004691535938152312,-0.0032820451055373,0.0,-0.10036832412523018,0.0,0.9294160901588766,0.0027689038246232023,-0.36611318588256836,0.0025114482883739396,-0.3282939235369364,0.009112500629125043
junyi,Prism-CD,0.2,-0.006307279899376533,0.00015374577189161977,-0.07167213076311386,0.007755904507608454,-0.0032820451055373,0.0,-0.10036832412523018,0.0,0.9271007098189189,0.004787101003290395,-0.20201305548350013,0.008803632500115207,-0.14003535509109494,0.015351379837322262
junyi,NeuralCD,0.3,-0.009504838160326332,0.00024605068704794717,-0.09634029189757957,0.010428638033685454,-0.0049080124055282,0.0,-0.1500920810313075,0.0,0.9284423633587141,0.005053945759226594,-0.36618776122728985,0.0017697676062045926,-0.33364326159159335,0.014213683184604285
junyi,Prism-CD,0.3,-0.009365674392667401,4.95866719253807e-05,-0.0958836591656101,0.0028184455597760117,-0.0049080124055282,0.0,-0.1500920810313075,0.0,0.9261486385253797,0.0009133841027225836,-0.20023336013158155,0.0017740447295599025,-0.12664541403452548,0.002613419565888545
