stu_id,exer_id,cpt_seq,label
0,2,"1,24,44",0
0,8,"1,24,31",1
0,11,"1,24,31,48",0
0,16,11,1
0,15,9,0
0,14,9,0
0,0,"1,24,44",0
0,12,9,0
0,3,"1,24,44",0
0,5,"1,24,44",0
0,4,"1,24,44",0
0,17,11,1
0,6,"1,24,31,48",0
0,7,"1,31,49",0
0,1,"1,24,44",1
1,29,81,1
1,20,"6,8",1
1,21,"6,8",1
1,22,"6,8",1
1,30,81,1
1,27,81,1
1,24,"6,9",1
1,26,81,1
1,31,81,1
1,19,"6,8",0
1,32,81,1
1,33,81,1
1,23,"6,9",0
2,262,96,0
2,231,81,1
2,85,26,1
2,44,"6,11",1
2,211,78,0
2,300,99,0
2,61,17,1
2,150,"39,46",0
2,135,37,1
2,290,98,1
2,78,25,0
2,180,49,1
2,186,49,0
2,51,"6,9",1
2,74,"22,43",1
2,54,"6,11",1
2,210,67,1
2,272,97,0
2,257,96,0
2,126,"34,35,46",0
2,241,81,1
2,204,54,1
2,266,97,1
2,102,30,0
2,124,"34,35,46",1
2,179,48,0
2,258,96,0
2,297,99,1
2,276,98,0
2,94,29,1
2,96,30,1
2,139,37,1
2,255,92,1
2,275,97,0
2,280,98,0
2,208,63,1
2,153,41,1
2,295,99,1
2,261,96,0
2,171,46,1
2,110,32,1
2,296,99,1
2,158,41,1
2,225,80,0
2,292,98,0
2,245,82,0
2,130,"34,35,46",1
2,97,30,1
2,131,36,1
2,185,49,0
2,128,"34,35,46",0
2,101,30,0
2,48,"6,10",1
2,192,52,1
2,113,33,1
2,283,98,1
2,197,53,0
2,201,53,1
2,129,"34,35,46",1
2,209,63,1
2,273,97,1
2,49,"6,9",1
2,134,37,1
2,265,96,1
2,165,44,1
2,287,98,1
2,217,79,1
2,237,81,1
2,242,81,1
2,289,98,1
2,301,99,1
2,214,78,1
2,238,81,1
2,239,81,1
2,56,8,0
2,235,81,1
2,43,"6,11",0
2,293,98,1
2,105,30,1
2,173,46,1
2,60,17,1
2,37,4,0
2,298,99,1
2,221,79,1
2,73,"22,43",1
2,196,53,1
2,268,97,0
2,140,37,1
2,254,92,1
2,57,9,1
2,206,56,1
2,151,41,0
2,47,"6,10",1
2,83,26,0
2,127,"34,35,46",0
2,81,26,0
2,66,18,1
2,175,47,0
2,253,92,0
2,286,98,0
2,177,47,0
2,104,30,1
2,222,79,1
2,138,"37,55",1
2,155,41,0
2,39,4,1
2,267,97,0
2,304,99,1
2,161,44,0
2,307,111,0
2,159,42,1
2,65,18,1
2,64,18,1
2,42,"6,40",1
2,50,"6,9",0
2,156,41,1
2,166,"45,55",0
2,274,97,1
2,243,82,0
2,187,49,1
2,218,79,0
2,223,79,1
2,108,32,1
2,176,47,1
2,86,26,0
2,249,82,1
2,154,41,1
2,191,52,1
2,302,99,0
2,142,37,1
2,199,53,1
2,84,26,1
2,288,98,0
2,125,"34,35,46",0
2,212,78,1
2,284,98,0
2,70,"22,51",0
2,109,32,1
2,294,98,1
2,233,81,1
2,219,79,1
2,244,82,1
2,115,33,1
2,164,44,1
2,132,36,1
2,100,30,1
2,226,80,1
2,227,80,0
2,152,41,1
2,193,53,0
2,55,"6,11",1
2,172,46,1
2,141,37,1
2,143,37,1
2,162,44,1
2,168,46,1
2,282,98,1
2,95,29,1
2,67,20,1
2,160,44,0
2,99,30,1
2,62,18,0
2,103,30,1
