,acc_0,acc_1,acc_2,acc_3,acc_4,acc_5,acc_6,acc_7,acc_8,acc_9,acc_10,acc_11,acc_12,acc_13,acc_14,acc_15,acc_16,acc_17,acc_18,acc_19,acc_20,acc_21,acc_22,acc_23,acc_24,acc_25,acc_26,acc_27,acc_28,acc_29,acc_30,acc_31,acc_32,acc_33,acc_34,acc_35,acc_36,acc_37,acc_38,acc_39,acc_40,acc_41,acc_42,acc_43,acc_44,acc_45,acc_46,acc_47,acc_48,acc_49,acc_50,acc_51,acc_52,acc_53,acc_54,acc_55,acc_56,acc_57,acc_58,acc_59,acc_60,acc_61,acc_62,acc_63,acc_64,acc_65,acc_66,acc_67,acc_68,acc_69,acc_70,acc_71,acc_72,acc_73,acc_74,acc_75,acc_76,acc_77,acc_78,acc_79,acc_80,acc_81,acc_82,acc_83,acc_84,acc_85,acc_86,acc_87,acc_88,acc_89,acc_90,acc_91,acc_92,acc_93,acc_94,acc_95,acc_96,acc_97,acc_98,acc_99,acc_100,acc_101,acc_102,acc_103,acc_104,acc_105,acc_106,acc_107,acc_108,acc_109,acc_110,acc_111,acc_112,acc_113,acc_114,acc_115,acc_116,acc_117,acc_118,acc_119,acc_120,acc_121,acc_122
z_0,-0.06202272950501226,-0.048949133053233354,-0.04260395224037244,-0.04751396365723832,-0.04529383744608141,-0.0417582977660387,-0.08501821869529329,-0.024026047534981766,-0.030571061742888504,-0.043687168390375127,-0.03800577037108792,-0.05587886069670337,-0.07169201639742373,-0.06639756405974027,-0.08316141211958959,-0.039889008494236156,-0.039681269435880503,-0.06712877405766782,-0.04615781877646588,-0.05456202761960528,-0.04291600988501735,-0.05351845868508564,-0.06019004470363226,-0.06792570747868627,-0.033479688160685576,-0.022624460223291412,-0.02493064940928429,-0.05160476807146808,0.0,-0.06226057381352911,2.5581275150159975e-05,-0.032883266652938524,-0.015095541399073835,-0.04195472340880852,-0.021886363023712378,-0.04434929247164353,-0.01015442837401397,0.012490206621233544,-0.02953954889438533,-0.05421916064181796,-0.062287078905437894,-0.0036626968809214677,-0.015855101271778634,0.00538916168244768,-0.046932327179646266,-0.02626050407895629,-0.03195195598123413,-0.03505423171300721,-0.04313411814832615,-0.05550709231928036,-0.040496706017006515,-0.07045387317023626,-0.035535543809838206,-0.028842958847713526,-0.04944382525419343,-0.008263761162644614,-0.0021762913056121314,-0.05206385193889984,-0.0465916562926749,-0.014508857018932193,-0.04227468844109776,-0.01732214144575303,-0.019193268137837328,-0.02760028992921914,0.0,0.009898404608349797,-0.05353710365554504,-0.05887093259923233,0.02992102219009859,0.007465291674618131,0.01915332910161209,0.0019600318524399065,0.0019600318524399065,0.0019600318524399065,-0.0074704534585187735,-0.007357518335354959,0.03936855022504395,0.0019600318524399065,-0.05673630125987917,0.018019143224266926,-0.034301880629881536,0.03864837494545592,-0.02070909778776166,-0.02657032931608517,0.0031361024380905634,0.0027587753996902308,-0.04906521105316481,0.0003214632013233459,-0.006283743132991505,-0.03349864446255442,-0.045177562699566014,-0.05120141417410469,-0.04341897391426041,-0.043859923842826144,-0.031471079563620136,-0.04772094452434408,-0.03516890464685665,-0.004187295289327205,-0.002331607556055408,-0.021532010205601214,0.012906762743995957,0.015370558416349463,-0.0169618502158387,-0.045413305717767576,-0.05290696561108584,0.014279544485283745,-0.03631370523287943,-0.017591846980931875,0.0080505815656496,-0.017591846980931875,0.00028519627494805395,-0.05487575237750206,-0.0006441744828075913,-0.006376864256257658,0.007786096163053069,0.0,0.008057580912802446,-0.02211998249752152,-0.011068240984407205,-0.032069560261171116,-0.008363715175592196,-0.04751396365723832,-0.023148690469966506
z_1,-0.021598042183359586,-0.010487766858980263,-0.0032454635567115957,-0.021148222619163357,-0.031055609701466803,0.024039613772295094,-0.061126395149758914,-0.022473416062901354,-0.013258031744725014,-0.005059710672549521,-0.01984845578948441,-0.02375038696736495,-0.014447556642656716,-0.018673695609238185,-0.06819442840803332,-0.01422596258574334,-0.010422154242009148,-0.016486875950677764,-0.014726239902075304,-0.02787417563997396,-0.026640409816736457,-0.011942002177747773,-0.04581008455276135,-0.05553451134391466,0.0012067329208885736,-0.008200120755029286,0.0036933088557414115,-0.011335557979088506,0.0,-0.02527354012856019,0.014802362824842322,0.005526583911774482,0.027656794893487022,-0.04911755269514792,-0.01983853240437604,-0.06638787641165748,-0.00903615176622522,-0.043768460206788366,-0.003255889340768559,-0.06960505427176349,-0.053118334515007276,-0.01421381691844119,-0.014209556510861986,-0.023415334057740496,-0.025428939595306392,-0.049096021650612456,-0.032689627764317816,-0.005709038595047925,-0.01570249743452025,-0.020038080325074713,0.011917306506783446,-0.027773167786644588,-0.04719162632300482,-0.046640846158702814,-0.06031720089394491,-0.03930242377378753,-0.017997008327730386,-0.010045013392694003,0.002319010843106431,-0.01277486274073697,0.02957100528376552,0.022691243981181046,0.020241030574190744,-0.01366715442000647,0.0,0.017218127131455676,-0.03231594480702807,-0.02060401421150442,0.010866259393198257,0.0010830231274540185,-0.016911609336756103,-0.005313204451465416,-0.005313204451465416,-0.005313204451465416,-0.009089928573961079,0.01008220051407898,0.004817542018018763,-0.005313204451465416,-0.009475845695170997,-0.06065847387049731,-0.005895463878439604,-0.020380866498261756,-0.03280497420160781,-0.014044406404426012,0.010279670827354329,0.003863428630262966,-0.007593685748684611,-0.020593968626956463,-0.029023061437546033,-0.018739661716192568,-0.04647365969983756,0.019189161284138504,-0.017218021605985206,-0.03071692490271844,-0.03331555465536032,-0.013298076202517741,-0.04057232934576371,-0.012701970686967339,-0.03990446586161291,-0.04042317065258678,-0.010723901186585305,-0.032026014518943,0.0004456315327642352,-0.00039540449561184824,-0.011009795170802453,-0.00632398997483911,-0.0038999469486596257,-0.015170184500961824,-0.007145201866724651,-0.015170184500961824,-0.010143040737693178,-0.017716610430833907,-0.000551960173262902,-0.0054807497009053165,0.0074312374087345395,0.0,-0.007166163405720857,0.0071791737438373585,0.010552160811826698,-0.0018344559654400482,-0.008933952355361187,-0.021148222619163357,0.001750681893745541
z_2,0.08217926281906274,0.049341813879676816,0.06282302175002764,0.04695582170829513,0.06945019436272559,0.060734159671394713,0.062420916042917295,0.0326923938362169,0.04770834558544442,0.05086746956208292,0.03990098628219312,0.047167931256226266,0.06181263461436215,0.08180218647406716,0.038355871839094856,0.06476536085663785,0.06107580256884855,0.040923922352252194,0.040373511290252774,-0.017536348521027194,0.06588449936249732,0.06894845815284278,0.05083609423159578,0.05253654469291619,0.04501124354412564,0.051608056100300365,0.045885477199297815,0.06807135505872518,0.0,0.053071449861966484,0.022565932955054428,0.046399335954325126,0.017659451504085488,0.03901089864311643,0.007497513990507025,0.015404054350408123,0.0060753836060677404,0.02906535173967319,0.04398847781170199,0.02949179498015602,0.03981918257913268,0.024053976742201184,0.03912303838070335,0.022657812898011328,0.045640710237366516,0.04289253919136126,0.01179660144746843,0.05811491003475305,0.05381972328417106,0.03323246163432261,0.013752222086809651,0.06367744826203521,0.013310884743199093,0.0027797415688981587,0.0032786836356087554,0.03984297273253404,0.06294137699285739,0.05478321138173371,0.025639399196054072,0.03198062387212108,0.055678937932651634,0.016060177006602516,0.019061363619737356,0.058694322865702094,0.0,0.018794526452920297,0.024575021767356892,0.07934083153463282,0.026516837346191435,0.024900965223414288,0.03470417821499546,0.02957742989014731,0.02957742989014731,0.02957742989014731,0.01830123182818724,0.02904317305849654,-0.0012239444611957244,0.02957742989014731,0.046996643191000095,0.02548833598127444,0.0419878722320175,0.023989074221559596,0.03651089788506289,-0.0028999438474704947,0.009274300834822611,0.015754410718688508,0.07203484734424433,0.01168558098046313,0.037531153859886694,0.06495388074371015,0.028622247778009834,-0.002443912121259931,0.0653961984944709,0.06072785483797689,0.05041161135088149,0.061257341979090926,0.05180946683050515,0.0746021715897061,0.04254135897063249,0.05687501707758639,0.019076830516358768,0.018282460655453244,0.046317827436682696,0.06757589018185195,0.05545724837398554,0.009258044556493974,0.0642816969065795,-0.015504206911992176,0.013861271660616651,-0.015504206911992176,-0.017621064584060656,0.011245931027352055,0.0406136214519101,-0.02230011236288639,0.030620369018843296,0.0,0.013854765096705333,-0.026711944571409945,0.025283414757599775,0.04670161369538991,0.01713414080445871,0.04695582170829513,0.04184891572450757
z_3,0.050630672419105856,0.05299087705242481,0.037215812670612525,0.06408105997043574,0.05325961622763626,0.04640127276934799,0.0461538473310867,0.06467434062526055,0.03439286527781745,0.05002982478606353,0.02763005672149203,0.05669668034260897,0.06593346949246456,0.05650938346684586,0.0537784121353255,0.03442162683005989,0.038553696967877936,0.030287039155594768,0.0203400858747683,0.010395794820858463,0.05341237344377494,0.03181996816110356,0.023357326974590024,0.032772706170530096,0.03881813374143174,0.030328235190869756,0.020365729470725936,0.022135533786170333,0.0,0.03521772108641841,0.018503170071816503,0.0402133300245916,0.03302025474602068,0.07818038261155572,-0.009206477690796655,0.024696596288950795,0.02023951941550354,0.048056934688022405,0.04815639952880755,0.023781738769579928,0.021007818513865833,0.017845562745523087,0.04065132493511784,0.02031444826984401,0.08145230321067307,0.06588761754715004,0.036194354773657886,0.05180685970511316,0.059494470312059386,0.02777795448701567,0.0024147045780650743,0.02676828518751996,-0.00296830949346757,-0.02117903690801161,-0.0023653399001043983,0.05432687319028606,0.032128267879739734,0.029323816184710083,-0.0018769900151851,0.007439259806691289,0.014593898859295733,0.017370161881989726,0.015635028834854486,0.07960488755870875,0.0,0.0351632270597068,0.003640507526721923,0.044102367600407456,0.0402576783873118,-0.03186699744218538,0.04397163200954098,0.016082749010515877,0.016082749010515877,0.016082749010515877,0.012282492277125693,0.03657088167502539,-0.005913404983382704,0.016082749010515877,0.029795821686629278,0.03288552558780658,0.019657389563803793,0.016906219877303248,0.05433613142667527,0.029811396757507914,0.05485155611262009,0.059259618916249625,0.040831633954748245,0.01591044328833873,0.034872468046804696,0.06087402567503476,0.05763865465591611,0.02186592049375455,0.041717512739016804,0.06347690111326303,0.04429356792520319,0.04240842952980574,0.02728816841827473,0.0764395809006144,0.06469055852397272,0.0910822229882747,0.016981798756854575,0.043075615110639065,-0.03792045826318333,0.03827794205958818,0.032909953759901626,0.014839690253031706,0.06887293630410406,0.033123889113083775,0.004319838279535416,0.033123889113083775,0.043626375337787515,-0.00618099300587954,-0.004838706143011279,-0.010101125198444166,0.021111077105574395,0.0,0.004338700926958284,0.03643092036842671,0.03056646929713357,0.040426809859134084,-0.016312589296377748,0.06408105997043574,0.009205801108493178
z_4,0.03805843692091043,-0.004085290814023511,0.057527706919529804,0.028118989168194403,0.03044984910726863,0.020377531815651835,0.002698059368582723,0.03322530372013677,0.019668051057601627,0.04831629276159716,0.030511009249814605,0.01881353996814729,0.031182739912468272,0.01692408779017329,-0.013621190975893625,0.054112310604257675,0.0455090069174392,0.03140077366532671,0.03147681069666574,-0.007755518048251878,0.02601262499021389,0.06340534407562066,0.04110364064521843,0.03821739610798689,0.005468267193305327,0.050775339713870694,0.037033180390756905,0.03342284192951216,0.0,0.032378703338947656,-0.044033819105106106,0.016527683341078195,-0.004462975620976736,-0.006264161905358013,-0.00682346821653601,-0.01885443871464014,-0.0459561526823997,0.002015086567863404,0.000522444806914516,-0.021579035243176354,0.0109657961438396,-0.005456753955570571,-0.01578609329114409,0.00988567512634731,-0.02503251126922392,-0.008971401819262188,-0.033087823331007654,0.01679761084640723,-0.017347639612854057,0.001718503531932933,-0.03380679453121333,-0.0132331577490965,-0.03343652047133096,-0.03880943292503274,-0.022720932136393462,-0.010167649573617574,0.028762632784694753,0.05075268728081349,0.003403315581487745,0.03244760649259039,0.01902365457667037,0.03046208224666498,0.04350256936742092,0.042449783893423854,0.0,-0.009011168259190948,0.04040510504070393,0.04881190403496994,-0.01827002124731028,0.007005002324411607,-0.03561883192270556,-0.01658134477619122,-0.01658134477619122,-0.01658134477619122,-0.005004829089680169,-0.017658158894045012,0.018563326415391164,-0.01658134477619122,0.017053384975458222,0.005512331958493375,0.0071183045851416216,-0.005257259607224738,-0.03800365996484038,0.0030838559502248423,0.007683501667402874,0.016324270306333852,0.06382408447111228,0.03469855443246795,0.029732675914986843,0.06613581635747372,-0.00465220271273665,0.021751008223961664,0.03425858434664088,0.06284400526866872,0.03154463540198058,0.06276502173074369,-0.012280123324931114,-0.008613505127604991,-0.014844142026270673,0.0419751453324082,-0.01679566789218289,0.037906547892650785,0.013438575912523468,0.05406178966223548,0.046810345370926106,0.0031853687243136577,0.0540308896854307,0.012247488406817624,0.013100961875165509,0.012247488406817624,-0.00796284803931226,-0.0023784778207790185,-0.018270522991795088,-0.009884819502736971,0.0012884183937683323,0.0,0.01309042178916407,0.024571738063853793,-0.02355447003873049,0.03841786806768853,-0.006914227626074179,0.028118989168194403,0.008840371290605647
z_5,0.018748276466566075,0.0511706528234216,0.044423826044569896,0.03746159983490335,0.021643872775084907,0.0069138715787909815,0.020452835756046457,0.015584892648715713,0.02508701127127053,0.03275571481271603,0.03494365043221154,0.011469169077292913,0.025091712343224114,0.025312699083604746,0.025426302020145484,0.037567504913124335,0.03523757914444996,0.04051699928690178,0.04565009356316171,-0.012390110380163645,0.03611301393981454,0.04580606091213954,0.040161222423945195,0.02847487580505951,0.037325778866303304,0.037872154863895065,0.043455349927626265,0.04422404942578483,0.0,0.04402271448907793,0.043080065744702224,0.03202578428590089,0.0687733782899129,0.0473222504128939,0.03600680189020741,0.017876783464573633,0.01753607382045069,0.040788748956249225,0.03140680689135652,0.015909313686045014,0.02631302993887667,0.01718174324181086,0.03765644754281173,-0.013303218246862609,0.029532775236155346,0.00809601767773464,0.014572940492528023,0.04237711893548114,0.05251299826588986,0.05159574485727596,0.030484297865709314,0.051070554536031244,0.017006657904823915,0.028620379626738465,0.039170452094229535,0.010301846725607341,0.06439501318359125,0.0306283437030262,0.040188898516592034,0.04485277497505091,0.04781295501513083,0.02362386459892947,0.02351356599863394,0.044365680445787384,0.0,0.017357342859376658,0.04289483439441342,0.03410132606389852,0.015580400594806147,0.007042925835825539,-0.004317227452105628,0.008877425105566732,0.008877425105566732,0.008877425105566732,0.029113588587393744,0.008206228017686772,0.013593259996850923,0.008877425105566732,0.03857406730786189,0.004126363699794032,0.04796113894583145,0.041404982689694766,0.05441644479075139,0.055839683477784,0.07218412771961778,0.06302269237401459,0.03871283412434304,0.028433262996679184,-0.016008952475372623,0.03594218652686046,-0.022808007614997395,0.02853588062139434,0.02709461749420116,0.024524644639538132,0.012555020888052397,0.0414290807740906,0.04286222135189391,0.018639367986517753,0.055998411058370695,0.04518818023588512,-0.01671786578248525,-0.026298943972881107,0.047612944087997655,0.0349093747994376,0.03171376166037378,-0.018704764856570712,0.04181650551206714,-0.0033123889100256754,-0.024930460856396365,-0.0033123889100256754,0.005862316985390981,0.007647720992966382,0.011642129950279108,-0.02469109888095408,0.002322645209974493,0.0,-0.024933873836625403,0.046170214548316234,-0.005356585339886261,0.045982576408269894,-0.00943606631061563,0.03746159983490335,-0.003852865041039658
z_6,-0.07891092641185807,-0.08548683126635324,-0.06270353328853684,-0.051447920798821274,-0.05699487343027318,-0.07039692642914336,-0.07691171493897558,-0.049408885671205126,-0.062283385704815265,-0.07470726272217242,-0.0712997762430903,-0.07607894305364743,-0.08067690855508018,-0.06867731017092446,-0.09336927210661444,-0.05220144456773861,-0.05530634951520702,-0.09070174080199658,-0.06632206326917703,-0.03709596326357453,-0.06234521311088894,-0.06169583918379568,-0.07201207177705199,-0.07414273369325299,-0.06794112214509508,-0.050690175276511026,-0.0450496659939371,-0.05964538995919274,0.0,-0.07882923123589408,-0.029407723315825175,-0.07232371537213537,-0.05804171262865994,-0.08293657912063242,-0.05056600740512156,-0.05457659311409099,-0.053541176089627725,-0.06730530006892516,-0.07285750496174723,-0.08834694655508991,-0.06882809973815836,-0.056058407116910056,-0.05667307816279815,-0.02360524643742203,-0.09807971619430404,-0.0756447615060479,-0.08222551972635571,-0.06663965137929279,-0.09155102987320327,-0.08230409459713717,-0.0533183707201236,-0.07161865232316054,-0.04636964662263724,-0.03478096317019835,-0.05356485776248673,-0.07562814454049466,-0.06238361241937654,-0.06161223420481029,-0.06235184042981329,-0.05667433632919593,-0.05242507100464572,-0.04075522307185601,-0.03184723390107124,-0.08949132484983595,0.0,0.010656547970739375,-0.07082709118752475,-0.04950762836821145,-0.023064662710386295,0.00407445813447687,-0.04150107739373934,-0.020884954356075066,-0.020884954356075066,-0.020884954356075066,-0.04347002658291535,-0.04119268250125959,-0.030623615823346162,-0.020884954356075066,-0.08401972033516446,-0.07289597937476448,-0.0840183907653424,-0.04204319492242005,-0.06489519618984482,-0.07875782108771064,-0.04440270318269164,-0.04964973274479732,-0.046558157372751284,-0.003999915943750588,-0.029496941067293194,-0.05474799038614706,-0.0444997243688886,-0.03880947977272696,-0.05459641405933385,-0.06146236538086075,-0.05777555849692678,-0.06119247285045929,-0.051175685850480726,-0.07632259162045296,-0.07513795452772695,-0.08916409395123649,-0.014618248866099796,-0.01168053301727202,-0.022852542043990686,-0.048868285770978806,-0.0651677446923421,-0.020911292883677452,-0.04939735493839465,-0.006151579404333397,-0.02921261034189017,-0.006151579404333397,0.007120130792778884,-0.07140312391200192,-0.04084711725331072,-0.015090480672307479,-0.02547806153299765,0.0,-0.029215484910799654,-0.033691320561918606,-0.006949313630804498,-0.08869984311023153,-0.04193160487180417,-0.051447920798821274,-0.01146236117884076
z_7,-0.09673379474729168,-0.10097783421515752,-0.1245242592640568,-0.08365044212795031,-0.11986547472790536,-0.09149715740703966,-0.08233986913292421,-0.1111237075083129,-0.09061354172266756,-0.08922259469228366,-0.0963533328963982,-0.06513430676754524,-0.09004747286153389,-0.11763352460354433,-0.07632088567981105,-0.10726523573626712,-0.11293320484014062,-0.09712477545685279,-0.11750772696466763,-0.019655509210381228,-0.12077004750966755,-0.10801749632417158,-0.09945836254678449,-0.0939398821054391,-0.11667885997188229,-0.12790413907680742,-0.13238089993948884,-0.11316064466661452,0.0,-0.09896814333873054,-0.10016483941368648,-0.12579865054517736,-0.11141936460504893,-0.12758552369625156,-0.06301146189630161,-0.04464419924064864,-0.05102675396479285,-0.08882642386376256,-0.0824851243160148,-0.019700691118967644,-0.08193221593556373,-0.08028680288688515,-0.08264828287619153,-0.019494411703266663,-0.09720397146149659,-0.07394272039254901,-0.04095650400180829,-0.13544563761361317,-0.11298362341014614,-0.06800317627622941,-0.03554981919621358,-0.11223732816080881,-0.0009627489422716665,-0.025984944101995238,-0.0020427449289729762,-0.07657720634182925,-0.07621801355777383,-0.10137030138592201,-0.09906463021044129,-0.08394635288721533,-0.13059094377449448,-0.05703592253410238,-0.047497058635783435,-0.11073686662091065,0.0,-0.053305700689480484,-0.10187111779903542,-0.11697651280085831,-0.01946499444831778,0.023904694551014394,-0.02265363042853315,-0.010713166182562918,-0.010713166182562918,-0.010713166182562918,0.032534434585735454,-0.00933974671120571,-0.006648554090118676,-0.010713166182562918,-0.09349316532885944,-0.07475354826934427,-0.09469940118618293,-0.09366561949750717,-0.0637937733388473,-0.042383990294240434,-0.04888066385627966,-0.05342259243384214,-0.12181548110047583,-0.016487004836675544,-0.06729461113165805,-0.1267805899334702,-0.03781074113772057,-0.05635575503600883,-0.12474717374308411,-0.09921615232288147,-0.10157099081334023,-0.11452002250424431,-0.07767644817814653,-0.10648933926176202,-0.08378018337823998,-0.08759130879814478,-0.0003682357337293113,-0.07380688959252524,0.024078028754667583,-0.12024415707804113,-0.11162916137513247,0.015487888907375777,-0.09220087848192177,-0.0010577376349294482,0.018506876162756696,-0.0010577376349294482,-0.003778874333083446,-0.03667734772152672,-0.023261689535543473,0.027615031911673284,0.006717564658687045,0.0,0.018490732948788786,-0.009556428445806144,-0.040586510992645805,-0.10625088083335577,-0.020292455911616956,-0.08365044212795031,0.015212355355233855
z_8,-0.024497823599642844,0.0067983576779762035,-0.023970646766744468,0.005637246213181589,-0.023037569406607155,-0.011272147710827615,-0.0007090045254755226,-0.05241627736528296,-0.03444893634286599,-0.038039236462330275,-0.02149658904596073,-0.038078786189527744,0.01251301534977347,0.0023818825524331002,0.01344888864238635,-0.0014215258732258335,-0.007999150101664904,0.0015485028114690248,0.0002555990953604414,-0.0029309914185083647,-0.016481358442996964,0.002786536757404604,0.006760441809896865,-0.0034686512680305336,-0.009001546364518949,-0.009541589089850748,-0.01779098491456961,-0.03488423580336729,0.0,0.002258940327313865,0.022649012996806762,-0.007172076559899887,0.03134361166762849,0.03133908925996118,0.008467330709945011,-0.010372316586329405,0.0005066674058948776,-0.030756478684949563,0.016721000011864436,-0.01260329396098984,0.010199959660068383,-0.006690200316270868,0.009704770628475353,0.007769520082704246,-0.0022961154718840323,-0.010871802045677503,-0.014782792336058368,-0.02705997119884733,0.0015152486692487904,0.013569421863680832,-0.029321402434351794,0.010071305237888533,-0.03123818074603068,-0.00805796436401769,-0.021417196046584906,-0.013120239064002465,-0.03996355559623152,-0.006165367473953271,-0.026694235967714624,-0.013292537278352062,-0.0025071768110944605,0.03131328605565965,0.04016636104152689,0.001327026161490743,0.0,-0.03152580923421151,0.011459184626206589,-0.006072738263026777,-0.001277619586724373,-0.00449473721163224,0.007644512898631654,0.015614556349912009,0.015614556349912009,0.015614556349912009,-0.006899821969357368,-0.012186674533937373,0.021242133450670414,0.015614556349912009,0.015624681235785086,9.528197225226222e-05,0.0033400214073291867,-0.03711797473393166,0.015368092467432712,0.03110387407173009,-0.00982459564006387,0.0037888737861848415,-0.008585929293574634,-0.006149790371789899,-0.029179979831312628,-0.01420030782533248,-0.024260312798928756,-0.0027888886818481437,-0.020656951214915266,-0.029687418929328416,-0.033283998704145806,-0.021570030448798138,-0.007858500820574113,-0.003085732335851813,0.016611629964230025,-0.01334026068260153,-0.02656317832001561,-0.022772428426990364,-0.00012533386858994114,-0.001840426004956127,-0.007848453270641924,-0.014279595187531637,-0.04155973211855,-0.027167156097135305,-0.004342259914515799,-0.027167156097135305,-0.03829011895075366,-0.0038970444286756853,0.02174024619220405,0.022179356425448535,0.025345067283604077,0.0,-0.004364261773688569,0.021022788019689775,0.0081348539068514,-0.007301774279577962,0.022125901197912565,0.005637246213181589,0.038562506016898215
z_9,0.09138583571436205,0.03576089822200995,0.08744992765755882,0.06706186628938891,0.06000303177678499,0.05287050699570265,0.04552130195546125,0.0714070783403415,0.0460048600727905,0.07532018999023822,0.03161513058623798,0.06345351463522383,0.09791259714830919,0.05866529122540552,0.07656481342963344,0.04944946009497285,0.07148157897447444,0.07582529981625585,0.02915139763638629,-0.008746751605675486,0.06932028864201657,0.06795965960469157,0.06394939372551281,0.06659110915855115,0.04571594564729078,0.0681424085360741,0.06427078865287052,0.04657025508753673,0.0,0.06821255827002043,0.041148559968043764,0.04243115261364811,0.045262648214826846,0.034077214687053214,-0.0037300456556260656,-0.012625564798503902,0.024604679778205716,0.03788703381687534,0.06365969150481651,0.021878877484381425,0.04958579933079665,0.013874850055676066,0.04960070187003089,0.01636864810212969,0.0394190201964273,0.0559236345392406,0.012200154244831181,0.05179447125401346,0.057262970382398214,0.04065385631286413,0.011080236576380749,0.03906405519466795,-0.002479913107721698,0.0339931395772175,0.012002753992590503,0.05250140678321117,0.06141947277944816,0.060792556639300686,0.053889315628423605,0.03498490513070999,0.030023504515508365,0.014313214162610463,0.017657394282999048,0.05412709126948852,0.0,0.005366458071998326,0.04647045152527459,0.06273277606891678,-0.0029012810628438273,0.00466454667906168,0.009555656674440029,-0.009922568409571453,-0.009922568409571453,-0.009922568409571453,0.04210856019974219,0.0458499632909907,0.01314177684452238,-0.009922568409571453,0.03350522607451086,0.043920822720629894,0.06254049397232199,0.045981709773450626,0.06560466641943509,-0.007739471725334986,0.0020242124084731655,0.005347204007813505,0.0724754485379611,0.021563153122060665,0.020880341265781355,0.08043342504044786,0.046296839345486285,0.05930034250478036,0.07072950738551621,0.07431961827800039,0.054604831777470594,0.06780306251349948,0.05328414372040151,0.05307033116125674,0.03737648955157805,0.04910125620460899,0.031205080099014636,-0.0021235446789608257,0.00717188248042441,0.06939801906610636,0.06400914406479091,0.04809120465421291,0.05648141225784698,0.032066151458913804,0.04451363036752169,0.032066151458913804,0.03555758549749403,0.04683161841596336,0.020900214547279777,-0.0019393125589598176,-0.0006766275162017848,0.0,0.04449980505991209,0.025953390364513922,-0.009486208245424368,0.05146651578109792,0.016384260597949184,0.06706186628938891,-0.013069114602057416
