,acc_0,acc_1,acc_2,acc_3,acc_4,acc_5,acc_6,acc_7,acc_8,acc_9,acc_10,acc_11,acc_12,acc_13,acc_14,acc_15,acc_16,acc_17,acc_18,acc_19,acc_20,acc_21,acc_22,acc_23,acc_24,acc_25,acc_26,acc_27,acc_28,acc_29,acc_30,acc_31,acc_32,acc_33,acc_34,acc_35,acc_36,acc_37,acc_38,acc_39,acc_40,acc_41,acc_42,acc_43,acc_44,acc_45,acc_46,acc_47,acc_48,acc_49,acc_50,acc_51,acc_52,acc_53,acc_54,acc_55,acc_56,acc_57,acc_58,acc_59,acc_60,acc_61,acc_62,acc_63,acc_64,acc_65,acc_66,acc_67,acc_68,acc_69,acc_70,acc_71,acc_72,acc_73,acc_74,acc_75,acc_76,acc_77,acc_78,acc_79,acc_80,acc_81,acc_82,acc_83,acc_84,acc_85,acc_86,acc_87,acc_88,acc_89,acc_90,acc_91,acc_92,acc_93,acc_94,acc_95,acc_96,acc_97,acc_98,acc_99,acc_100,acc_101,acc_102,acc_103,acc_104,acc_105,acc_106,acc_107,acc_108,acc_109,acc_110,acc_111,acc_112,acc_113,acc_114,acc_115,acc_116,acc_117,acc_118,acc_119,acc_120,acc_121,acc_122
z_0,0.12463155401046123,0.10163786376508906,0.0,0.0,0.0,0.10170624172700239,0.122879574407504,0.0642171792972828,0.076669445684601,0.14548528507795214,0.0,0.19622804485686507,0.03939968826159194,0.12286110629346698,0.12617765543100598,0.0,0.0,0.0,0.0,0.0,0.030002241538261854,0.0,0.0,0.0,0.08563752512924512,0.0,0.0,0.0,0.0,0.05683119807428221,0.025073584614622085,0.07026983641166666,0.22600989640660848,0.14423348179145204,0.08118837003346946,0.0,0.0,0.09849954178457328,0.17397277136773093,0.0,0.0,0.0224620515109915,0.13459773657603044,0.0,0.07087578081319391,0.07711800614298699,0.11638763645266033,0.0770701438054136,0.07388186398021682,0.09745843505279309,0.0,0.02085809959149283,0.0,0.08212952053589659,0.0,0.14273725341017254,0.0,0.0,0.1526561226510994,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.008560143602293128,0.08642097263492161,0.18231152786161373,0.1541995667753678,0.11658482690850565,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04196105928644409,0.035377185070297086,0.06140318395467093,0.08021762535881,0.0,0.0,0.0,0.0,0.0,0.0,0.05243006068756577,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
z_1,0.13161236613921584,0.12680844565042232,0.0,0.0,0.0,0.07994845680034274,0.11186424677225215,0.10852795126285579,0.10072344437181192,0.0919593259696719,0.0,0.06575389720726262,0.01798900688057893,0.009779613091750978,0.09757900266149501,0.0,0.0,0.0,0.0,0.0,0.08249417976943672,0.0,0.0,0.0,0.15464794386706074,0.0,0.0,0.0,0.0,0.010721931361263874,0.060293436145688085,0.16922199989370046,0.10897555259389935,0.12079497591814725,0.08869270294365311,0.0,0.0,0.10696551754560335,0.18769377828450298,0.0,0.0,0.17370615026113423,0.019766269155801795,0.0,0.08833855314039045,0.1940728501179767,0.22400284607076698,0.14332785472642876,0.08642853475616487,0.22068080024465037,0.0,0.16548600493483778,0.0,0.19851770141573832,0.0,0.20644457238076983,0.0,0.0,0.20733272121422605,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14938795180875275,0.16441419741871213,0.18099112523845798,0.07110344862416684,0.12620537116822175,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08885491709611414,0.18688308811740076,0.02953675862650377,0.059082308112659424,0.0,0.0,0.0,0.0,0.0,0.0,0.058318267650998956,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
z_2,0.14025446935900931,0.08937649381327345,0.0,0.0,0.0,0.12129811004651526,0.049742607973324776,0.12401179812768018,0.15110189828542744,0.06712270429747833,0.0,0.12432365850335009,0.11637232354570594,0.17892440968535378,0.1187747281740318,0.0,0.0,0.0,0.0,0.0,0.03943809479328523,0.0,0.0,0.0,0.15737898519108834,0.0,0.0,0.0,0.0,0.0540070370390648,0.09603239308818443,0.11457649423695608,0.02475864805425009,0.012587462723510278,0.010588008967965329,0.0,0.0,0.07110340214980669,0.09906548588802892,0.0,0.0,0.03394039596915655,0.1674820888489743,0.0,0.07810624755934577,0.10994349946539414,0.014418449337193575,0.20855290931644008,0.16181287262956512,0.006794499866284664,0.0,0.007998935034931634,0.0,0.052114173081113324,0.0,0.06807207570596963,0.0,0.0,0.13571420129205394,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.21959657221937387,0.033513297538344755,0.23402626752058944,0.016627097353614815,0.043509479238468,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13877146398660536,0.016143227899892202,0.08992739143431164,0.08420004089050058,0.0,0.0,0.0,0.0,0.0,0.0,0.12536019640660956,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
z_3,0.1566780617026662,0.17980649832817475,0.0,0.0,0.0,0.12248359086829831,0.09069088358533238,0.14093510200344728,0.17105740190368768,0.11799077178317349,0.0,0.16151535511312892,0.09306529954809312,0.19514195082449487,0.2410809539753133,0.0,0.0,0.0,0.0,0.0,0.08729533913557579,0.0,0.0,0.0,0.15794301626521592,0.0,0.0,0.0,0.0,0.14576303885869202,0.2073600872136689,0.23393693715176414,0.09512352396417025,0.03631469325309945,0.1062969031612631,0.0,0.0,0.07856101040237931,0.21911617562129734,0.0,0.0,0.2530369399293359,0.22419463565759523,0.0,0.20431295605891844,0.2627382379397055,0.15063109686334855,0.16209585143450606,0.19734839608658175,0.12117101102737916,0.0,0.12331236694362109,0.0,0.23507226627671698,0.0,0.18827628995566772,0.0,0.0,0.20358545083751806,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1635443129756768,0.22785622027736543,0.22443377786041913,0.08537643551634409,0.2628678834072943,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15320815934069235,0.16989307295387254,0.1371880810189937,0.04327726556855793,0.0,0.0,0.0,0.0,0.0,0.0,0.16093668884864948,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
z_4,0.011206997775627343,0.0894246477867306,0.0,0.0,0.0,0.10562325938164609,0.008550265419233302,0.04110234264643252,0.0982817794560552,0.0017038514902191703,0.0,0.027206436144655434,0.0694241299541183,0.1090165054886147,0.08024129271506242,0.0,0.0,0.0,0.0,0.0,0.05821866672242985,0.0,0.0,0.0,0.010307524724586431,0.0,0.0,0.0,0.0,0.0704262618675242,0.020903557004045774,0.07824549833201254,0.10406553362714813,0.12999860469634122,0.01684291557804363,0.0,0.0,0.09017120858764303,0.06539291546895638,0.0,0.0,0.0687743640333412,0.12044415347960881,0.0,0.07606589935003755,0.007055543007864658,0.01872046617989358,0.21960277242335433,0.0762867544096473,0.016495478865719147,0.0,0.13865761197969875,0.0,0.04216743781362268,0.0,0.02781243359338407,0.0,0.0,0.019985830982289593,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.014979053150165062,0.03787562983476202,0.03293084142150432,0.02839318517847683,0.025052986350412136,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06769162020614476,0.03957159875060635,0.10741027952720564,0.08866912868710894,0.0,0.0,0.0,0.0,0.0,0.0,0.007311219677616172,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
z_5,0.048548224946587504,0.022573424956251555,0.0,0.0,0.0,0.01081746113478336,0.028630956473355597,0.058721078570434355,0.01421457546414478,0.00491822361814624,0.0,0.004556384754570386,0.042408768155397215,0.10040633189175246,0.058254202883386154,0.0,0.0,0.0,0.0,0.0,0.01897495724910351,0.0,0.0,0.0,0.012032543618809084,0.0,0.0,0.0,0.0,0.0552712325677772,0.0006558226364868323,0.0011424841479541995,0.022429722512922048,0.004344511727531148,0.01810214527714873,0.0,0.0,0.07072129234018854,0.0005357812115505253,0.0,0.0,0.0843304763756857,0.04364174284112967,0.0,0.025660133491546118,0.010551676018431691,0.014356514907759098,0.040212312755888414,0.08811926650740841,0.0585004783406525,0.0,0.028528640739827874,0.0,0.1476128397434413,0.0,0.0265156523649933,0.0,0.0,0.051999976865478095,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05964835865154962,0.0812848471009791,0.029473977527568498,0.026154302636903052,0.06161222352718189,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09254988290273318,0.019717077176617283,0.04146247222818934,0.01240555150762068,0.0,0.0,0.0,0.0,0.0,0.0,0.004414099694510657,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
z_6,0.12657971646681013,0.07314948187977457,0.0,0.0,0.0,0.04954303100906451,0.10299701400596745,0.13596046723244912,0.07971928944710317,0.10552432130737018,0.0,0.1524318690301614,0.06753928926007641,0.09136204311974594,0.18801498372796574,0.0,0.0,0.0,0.0,0.0,0.012857877749475803,0.0,0.0,0.0,0.09877773129527809,0.0,0.0,0.0,0.0,0.035852455754468444,0.14550562626867913,0.06707776105058386,0.09508269077484213,0.001185759342929449,0.06750485331927449,0.0,0.0,0.26441871083057433,0.07549507181783804,0.0,0.0,0.04098806877918607,0.07037825449532267,0.0,0.11826849443314866,0.20804317928550126,0.17362503867422116,0.18289650038758343,0.03217661920268534,0.1198775261438916,0.0,0.0850447660965005,0.0,0.14837595694279782,0.0,0.18910959730367788,0.0,0.0,0.25703240793409554,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.027118747937193145,0.22081927794275524,0.20292206610530739,0.17870337612400092,0.12905169998680768,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.21125145824826666,0.1373491301178101,0.1360779633654485,0.10175057745752983,0.0,0.0,0.0,0.0,0.0,0.0,0.0019363074365089984,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
z_7,0.2091837887407208,0.09268148783852838,0.0,0.0,0.0,0.15732111237664834,0.06782663407499497,0.17171266082397407,0.1341783393721196,0.12855085820243425,0.0,0.07770269866578995,9.525951246683381e-05,0.01772642530751769,0.18268272985276507,0.0,0.0,0.0,0.0,0.0,0.033533838245590836,0.0,0.0,0.0,0.10725466024311164,0.0,0.0,0.0,0.0,0.0877368955568436,0.2226933639566782,0.11841096797473327,0.09463452931697053,0.029486236217371065,0.0025597012836574016,0.0,0.0,0.037848671242624685,0.05139925616012706,0.0,0.0,0.09485543454154195,0.12622390902446382,0.0,0.13517557319348378,0.1407265346063968,0.08731555819369248,0.07333217742744447,0.12483337085051271,0.10578526369358464,0.0,0.07168098501842256,0.0,0.03643184656037958,0.0,0.08407857114186922,0.0,0.0,0.15435107328470574,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1782938127742069,0.10901420547385827,0.0753296173957184,0.1148371116258165,0.1159924848976672,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.24802410048456547,0.08316949249804145,0.17506065788177627,0.1641223506330313,0.0,0.0,0.0,0.0,0.0,0.0,0.06266600315372146,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
z_8,0.017429295559506012,0.014875718463406599,0.0,0.0,0.0,0.016370524505867002,0.05407799297188981,0.025108961893724576,0.06729345240809523,0.05744020093575541,0.0,0.01595481294502065,0.013586129909627348,0.07903567665627335,0.009780619109510277,0.0,0.0,0.0,0.0,0.0,0.0385515080900581,0.0,0.0,0.0,0.012467735107476043,0.0,0.0,0.0,0.0,0.007677075441085235,0.027709156366383696,0.0016023747558470151,0.039854110384003924,0.06593249658732102,0.012428681642227683,0.0,0.0,0.037246045909779334,0.08373413915647279,0.0,0.0,0.017068371286636803,0.01587433406907356,0.0,0.01647537339947861,0.013841655362012128,0.06323933363436111,0.017836257395917106,0.02646073961624609,0.06759885038059722,0.0,0.01873510249363599,0.0,0.00985916444133498,0.0,0.03129341172152818,0.0,0.0,0.005483354924141928,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13579023691702305,0.13965610655508512,0.10291477142749113,0.05942233354968789,0.05390407561614722,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02711729142823808,0.04770175929471189,0.09191076483661263,0.04675169232777035,0.0,0.0,0.0,0.0,0.0,0.0,0.013587627798323381,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
z_9,0.1481202837833385,0.18866832055093433,0.0,0.0,0.0,0.19854934115736614,0.08576882058987895,0.028046239291534183,0.18306533485990317,0.18227255085469057,0.0,0.1935361028786488,0.0451258761688862,0.05367166271159175,0.15882100827154133,0.0,0.0,0.0,0.0,0.0,0.08129784084903934,0.0,0.0,0.0,0.1729771643375199,0.0,0.0,0.0,0.0,0.07244768031531178,0.06828116207581653,0.19126850382262206,0.027712028907374793,0.07761383003534247,9.566765230785057e-05,0.0,0.0,0.06256078087744495,0.1937106430227244,0.0,0.0,0.0751008856735474,0.13226178440718755,0.0,0.12389570076459784,0.037743185706559906,0.1140098681041873,0.1320266164998494,0.12731190510656737,0.09365569037644192,0.0,0.03172701218463834,0.0,0.09932676277713273,0.0,0.04217301762141265,0.0,0.0,0.09269104472721275,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03861410221045609,0.021728124480534752,0.18758018346057556,0.020426630088720022,0.1691563348286242,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000660134845769193,0.11615172369138815,0.14184707542552363,0.12939448035441514,0.0,0.0,0.0,0.0,0.0,0.0,0.01622986230146381,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
