,acc_0,acc_1,acc_2,acc_3,acc_4,acc_5,acc_6,acc_7,acc_8,acc_9,acc_10,acc_11,acc_12,acc_13,acc_14,acc_15,acc_16,acc_17,acc_18,acc_19,acc_20,acc_21,acc_22,acc_23,acc_24,acc_25,acc_26,acc_27,acc_28,acc_29,acc_30,acc_31,acc_32,acc_33,acc_34,acc_35,acc_36,acc_37,acc_38,acc_39,acc_40,acc_41,acc_42,acc_43,acc_44,acc_45,acc_46,acc_47,acc_48,acc_49,acc_50,acc_51,acc_52,acc_53,acc_54,acc_55,acc_56,acc_57,acc_58,acc_59,acc_60,acc_61,acc_62,acc_63,acc_64,acc_65,acc_66,acc_67,acc_68,acc_69,acc_70,acc_71,acc_72,acc_73,acc_74,acc_75,acc_76,acc_77,acc_78,acc_79,acc_80,acc_81,acc_82,acc_83,acc_84,acc_85,acc_86,acc_87,acc_88,acc_89,acc_90,acc_91,acc_92,acc_93,acc_94,acc_95,acc_96,acc_97,acc_98,acc_99,acc_100,acc_101
z_0,0.012671410634066639,0.005576983442588438,0.06482025089670153,0.0,0.03782566724653775,0.029794140801073555,0.0,0.0023248821851918028,0.0,0.0,0.007987109141789111,0.009886200602000446,0.0368850389816532,0.034142987864179186,0.05115094917538583,0.0,0.0,0.0,0.0,0.0,0.0,0.032316887896540664,0.0,0.0,0.0,0.013485133579317922,0.0,0.10119769004658451,0.0,0.0,0.014167881975027555,0.0,0.0,0.02161655411806744,0.05060958622622196,0.07803575365111395,0.04005256730034427,0.003904254473748364,0.15353800928255265,0.027173235732975497,0.006602137375167987,0.0,0.0,0.0,0.0,0.026490714057869937,0.0827889603154136,0.07065759457229952,0.0807622107203044,0.0,0.0,0.013138325702603662,0.024317690189489156,0.0,0.025194396162645478,0.0,0.0,0.04667852934745579,0.032929922547002416,0.08651721863981468,0.10162024304042402,0.02643738611992881,0.0,0.012598755209652746,0.07258222007890773,0.08559147101599159,0.05156204130526829,0.0,0.0,0.07928143652015342,0.0,0.0,0.22199123891099334,0.0,0.0,0.0,0.0,0.018575775368970284,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
z_1,0.18239473626641325,0.16514184283015085,0.20148142825916798,0.0,0.16854940245149366,0.21994681436268226,0.0,0.11403125374307978,0.0,0.0,0.18440065442894346,0.13034337985404498,0.1790980928919291,0.21528974373052073,0.2592975749410625,0.0,0.0,0.0,0.0,0.0,0.0,0.2891030066636999,0.0,0.0,0.0,0.1811729067337785,0.0,0.16370199942717006,0.0,0.0,0.14481746146911517,0.0,0.0,0.17133799209323897,0.20684761318530073,0.19223680491800202,0.05875885389070916,0.17281063869997978,0.175989690672956,0.16978375322040182,0.11017378469162745,0.0,0.0,0.0,0.0,0.2057794371125116,0.17342247482915296,0.1802557460102248,0.19446545364879186,0.0,0.0,0.2792168340075765,0.17390737351223987,0.0,0.26020344466175044,0.0,0.0,0.20537765931256832,0.18596671514787494,0.12078685810572601,0.21627226701189217,0.16421245814952187,0.0,0.1364966820030551,0.23075454532389042,0.10494601496867913,0.17186707397646042,0.0,0.0,0.18786037262620525,0.0,0.0,0.2278440164262621,0.0,0.0,0.0,0.0,0.08591765572750683,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
z_2,0.09409887982311699,0.16069695637701167,0.06610465683977869,0.0,0.049175497860002096,0.1288854344353126,0.0,0.030452970597145426,0.0,0.0,0.11668575711732816,0.0901965873293205,0.09608358675958124,0.16937156162143024,0.11565636043293438,0.0,0.0,0.0,0.0,0.0,0.0,0.11465976216461427,0.0,0.0,0.0,0.1267887156853927,0.0,0.09438717121297954,0.0,0.0,0.11976563600503887,0.0,0.0,0.05912568261700843,0.12344219705041296,0.15454527495304388,0.04396466236535677,0.07019036742496891,0.11747803946321467,0.12905134003318544,0.06901296410060127,0.0,0.0,0.0,0.0,0.09336601703324553,0.15813107813982746,0.1797108955970423,0.06456105032610628,0.0,0.0,0.1720013891020732,0.06343294297924786,0.0,0.03229068143621958,0.0,0.0,0.13222382143986317,0.1408019516254167,0.07063360877250319,0.15034839666904698,0.11149768307762004,0.0,0.18617429499035942,0.18667629400778685,0.10440481516526773,0.16716161408511587,0.0,0.0,0.12158463625189907,0.0,0.0,0.08769994800890984,0.0,0.0,0.0,0.0,0.054550534838085404,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
z_3,0.0134118154476022,9.822286819565943e-05,0.0006787063051305237,0.0,0.04111032099236109,0.047071499280155575,0.0,0.039203711747945624,0.0,0.0,0.04265004505140576,0.05914069265170146,0.022229171191440206,0.013583838070536374,0.019281563909455693,0.0,0.0,0.0,0.0,0.0,0.0,0.014122945985516598,0.0,0.0,0.0,0.007998388260592315,0.0,0.05933151313457524,0.0,0.0,0.14585248385813862,0.0,0.0,0.0023447126181793654,0.04617624638087651,0.002604612734900908,0.15417535878581162,0.0519183936565808,0.02974173908467401,0.020745992924270387,0.003825902027784178,0.0,0.0,0.0,0.0,0.050772561481702026,0.05003340562331067,0.03837217935037768,0.05489134764261567,0.0,0.0,0.02497850645712758,0.03552127687032343,0.0,0.11649763118706226,0.0,0.0,0.024273318358307407,0.07282564327042043,0.07259031385632796,0.01618335187891405,0.027460458139706122,0.0,0.05428428604484161,0.04527246409870449,0.03535053266468231,0.007894094105371032,0.0,0.0,0.007897256757088897,0.0,0.0,0.0005494931063927596,0.0,0.0,0.0,0.0,0.0855752595445028,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
z_4,0.14248953584738536,0.05439954094771495,0.10141144818895217,0.0,0.03740996176407914,0.07823070402028208,0.0,0.1404552099883165,0.0,0.0,0.06111253647614552,0.11049091398785564,0.00182753434144509,0.053184719826709984,0.12927026737063535,0.0,0.0,0.0,0.0,0.0,0.0,0.09916007233522431,0.0,0.0,0.0,0.09128868771210338,0.0,0.07408788723445134,0.0,0.0,0.10024724399547895,0.0,0.0,0.11080409028563841,0.08036234458476968,0.12735333911063706,0.11767554160921252,0.08713576255884156,0.04674851723533096,0.09437008900468372,0.02697953753937668,0.0,0.0,0.0,0.0,0.10306690096989483,0.08266480692529597,0.07532725844911123,0.12381161062523308,0.0,0.0,0.11372985926719792,0.10032126210806679,0.0,0.1187113419273386,0.0,0.0,0.014715387578833285,0.08940904484969704,0.08915653070436008,0.012229150488720125,0.10619992277384827,0.0,0.07983525728790265,0.026209135761349367,0.04517669159537047,0.005112689712313345,0.0,0.0,0.06709114348280666,0.0,0.0,0.011411855868992325,0.0,0.0,0.0,0.0,0.023945198509387696,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
z_5,0.07642530386649364,0.0030239128709867637,0.09819919891901224,0.0,0.08588503063045116,0.05711467158550524,0.0,0.07237801550718027,0.0,0.0,0.052323726903759415,0.11282697727485642,0.0668958249597067,0.0797934304134385,0.11444417000632696,0.0,0.0,0.0,0.0,0.0,0.0,0.1018165581060344,0.0,0.0,0.0,0.04865708406431984,0.0,0.12659318293559885,0.0,0.0,0.08274448283523651,0.0,0.0,0.11844650658472443,0.06921259147359067,0.015303234049052546,0.14945721926690667,0.07514946738595984,0.070684468082174,0.03475726342046235,0.04251915941448206,0.0,0.0,0.0,0.0,0.06185257159047468,0.00916779632482966,0.023479116095046965,0.011660258109771292,0.0,0.0,0.005925877744028051,0.09367416069193503,0.0,0.10085755449670027,0.0,0.0,0.07431405137538621,0.048496292888244835,0.10902498566676372,0.053555407591785974,0.039213898165556205,0.0,0.01600936309053816,0.043983838288621714,0.05157778547806461,0.03932188470856521,0.0,0.0,0.1140138017466224,0.0,0.0,0.03613692508510301,0.0,0.0,0.0,0.0,0.02478272335922198,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
z_6,0.15739269397966088,0.14822216944850594,0.10580511815164222,0.0,0.10683441236114734,0.09706124758134584,0.0,0.13269368845879922,0.0,0.0,0.13051199402838304,0.12880315604220452,0.10250017253996167,0.07436558640764408,0.14937284597248393,0.0,0.0,0.0,0.0,0.0,0.0,0.06373134300551878,0.0,0.0,0.0,0.014618584495517652,0.0,0.08462860856924868,0.0,0.0,0.0810975931837982,0.0,0.0,0.15207773508700126,0.12239165807803383,0.07395648350786146,0.09624190632787534,0.10641782054720679,0.1716271196900298,0.17521291228454755,0.12856300571435966,0.0,0.0,0.0,0.0,0.173549936499582,0.16842734101633816,0.1411829947839829,0.04569443951574543,0.0,0.0,0.12724096855442818,0.06413573086895834,0.0,0.10502585290444089,0.0,0.0,0.02379528546113157,0.1362015099292758,0.1281770476566349,0.0964985837178592,0.10423257562280407,0.0,0.10209814576134739,0.03420954124133802,0.09970827262969446,0.1004248220407018,0.0,0.0,0.14633219876015313,0.0,0.0,0.15038907978352695,0.0,0.0,0.0,0.0,0.0765915849220651,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
z_7,0.13847568853968867,0.1676674013453046,0.18166847979217451,0.0,0.17200805571528452,0.13388057056587974,0.0,0.13532451575077062,0.0,0.0,0.21584443727393088,0.22223707666232717,0.16099635365570367,0.15370897848199952,0.168736893457332,0.0,0.0,0.0,0.0,0.0,0.0,0.13942088121887722,0.0,0.0,0.0,0.182859817835288,0.0,0.1541627607315344,0.0,0.0,0.11610080001795411,0.0,0.0,0.2046353243991368,0.19528136403136612,0.17743271095608565,0.01928798862236116,0.2258298981341232,0.23249230135946686,0.19727236994145567,0.1557365340716867,0.0,0.0,0.0,0.0,0.2116512852276956,0.22138289350461277,0.06502774540128595,0.2617060077324466,0.0,0.0,0.18406519370843893,0.14113716905522944,0.0,0.10920765271477291,0.0,0.0,0.08138714611721773,0.22508597594707216,0.18893398326685484,0.19451516665653557,0.14642590602919342,0.0,0.20553146835350153,0.21982917604073335,0.1550267596984028,0.15460015156040813,0.0,0.0,0.1978060911436734,0.0,0.0,0.10202679456338272,0.0,0.0,0.0,0.0,0.11873197949646251,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
z_8,0.26409958275035095,0.21505040256348493,0.23028244090014552,0.0,0.22718964349547796,0.263014979295143,0.0,0.2555145046185905,0.0,0.0,0.21702196262565854,0.20843204804654245,0.17290067585624286,0.19414369386922917,0.29626305948743564,0.0,0.0,0.0,0.0,0.0,0.0,0.29270877448559246,0.0,0.0,0.0,0.26389279945531496,0.0,0.24624104774171054,0.0,0.0,0.2720111776173023,0.0,0.0,0.18314893853719802,0.24950303444959437,0.31681216335562146,0.020238465918669072,0.25207626013512735,0.1990902679470553,0.23101537937442743,0.1537774787465155,0.0,0.0,0.0,0.0,0.2364341755507563,0.19899986954256116,0.24254101166503758,0.25954279696914107,0.0,0.0,0.2082842433160747,0.21967690959299813,0.0,0.27782692932126224,0.0,0.0,0.1333746846658268,0.28984568618889406,0.20198959929996424,0.27495734266872707,0.18902326361882732,0.0,0.2458285939089594,0.19666600997481906,0.10825174241957262,0.21909177602826105,0.0,0.0,0.3335123160605288,0.0,0.0,0.2984908580643703,0.0,0.0,0.0,0.0,0.09723300453950559,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
z_9,0.03580194412624066,0.03990889254982754,0.13967124754079685,0.0,0.06149267553990426,0.09499633583953339,0.0,0.12869970863725871,0.0,0.0,0.10274739029704613,0.16624721199605552,0.12213479828302003,0.132844461570926,0.13245339876211765,0.0,0.0,0.0,0.0,0.0,0.0,0.0966888278628954,0.0,0.0,0.0,0.16716788870745689,0.0,0.08297758209837497,0.0,0.0,0.043495252945439045,0.0,0.0,0.1618806224407157,0.1285492081024324,0.15600334911449484,0.15431036130518277,0.09119249071985153,0.05019057651056915,0.11358787147011662,0.07945360030991384,0.0,0.0,0.0,0.0,0.14041861458800742,0.16329927736457972,0.011548487696342237,0.1346487444538394,0.0,0.0,0.10141534593252502,0.14313960007006046,0.0,0.11924049305197891,0.0,0.0,0.01273897283769799,0.11805587856079951,0.069511086914482,0.14849613520554814,0.07692825205847968,0.0,0.11226864704112309,0.1661983382339898,0.16976666319250808,0.08581461017867915,0.0,0.0,0.10654059127374202,0.0,0.0,0.11083114262360244,0.0,0.0,0.0,0.0,0.04038647482160543,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
