i,j,same_concept,MI,NMI
0,4,0,0.07741239043428003,0.03044159902307183
0,38,0,0.09816863432494609,0.038110865089057706
0,58,0,0.07779864125088902,0.03048543388347952
0,73,0,0.07966940948209686,0.03146435990408723
0,82,0,0.0891905464160183,0.03513035667704645
0,95,0,0.08324407769454682,0.03245168729774023
0,98,1,0.08258244582507605,0.032516895520963984
1,27,0,0.07520204816260008,0.030071018659971062
1,30,0,0.06772970096718704,0.027161577141415566
1,34,0,0.08616132491690286,0.03462442616611213
1,55,0,0.06858072919402257,0.028301750890254402
1,69,0,0.07680007054146247,0.030282000655417626
1,77,1,0.08543781476974223,0.035417812692541926
1,86,0,0.09384355413463333,0.03872892535604497
1,91,0,0.07256618716751734,0.028613222408265925
1,92,0,0.060506760807454,0.025229164331046345
1,95,0,0.07223427983618938,0.028487143842371013
2,29,0,0.08190824709961479,0.03274164593400378
2,30,0,0.06846606488605712,0.027375876341251652
2,34,0,0.06490448949564064,0.0260052954289459
2,50,0,0.07461235949031152,0.02962914869254078
2,55,0,0.06714317024484356,0.02762675563129561
2,67,0,0.07080564863621185,0.0282529580706535
2,72,0,0.10088812123402888,0.03944010528990759
2,78,0,0.06864259860658009,0.027281262016508313
2,88,0,0.07422993578255682,0.029968221038797822
3,12,0,0.07039643299531481,0.0285883269272326
3,14,0,0.06252067730242869,0.02504044449270968
3,20,0,0.07300232852241277,0.028786866444227458
3,23,0,0.0807089512594745,0.03111653735738883
3,24,0,0.08344318781891454,0.03228850400328934
3,61,0,0.05290347271521062,0.021664185195818662
3,69,0,0.06660564314705648,0.026106492776218394
3,92,0,0.06379371153046218,0.026441822858895257
3,93,0,0.08127165671222007,0.03181104100973282
4,10,0,0.0627812550739793,0.024969555471320553
4,11,0,0.06483351501859383,0.025683956744018365
4,20,0,0.0685943196942657,0.027137760769853744
4,45,0,0.07844663709752243,0.030680648486308068
4,50,0,0.08506081097773899,0.03378810357297691
4,54,0,0.06476547066064299,0.025436618150368476
4,80,0,0.07268095042110398,0.028605656477791248
4,89,0,0.07468631173543187,0.028986762157082333
5,7,0,0.08027828238569687,0.03248600094327065
5,9,0,0.0839868991565436,0.033630395185459364
5,10,1,0.06493956201480441,0.02626234596894272
5,15,0,0.07253251460744968,0.028808755298329672
5,19,0,0.06955094799199883,0.028018643722294935
5,24,0,0.07008181626824528,0.027665205927348398
5,28,1,0.07939382678583257,0.03215830721968559
5,51,0,0.06753292158530932,0.026856594264809408
5,72,0,0.0820239280861346,0.03261428326697058
5,83,1,0.06951383145951766,0.028831532417473802
5,84,0,0.10529383705913793,0.04261380155455587
6,8,0,0.12903313733148963,0.0503593495553396
6,14,0,0.0679802229657487,0.027382516830464193
6,75,0,0.0693260091727279,0.028325705533717615
6,84,0,0.07989598366057862,0.03187668653049037
6,89,0,0.07405061006286907,0.02880922513361424
6,90,0,0.07240457930034719,0.02881148690056086
6,99,0,0.07608015908420036,0.03174977944786514
7,28,0,0.06317332348100131,0.025242380877778373
7,29,1,0.07909104116657537,0.031721926799088654
7,47,0,0.07763959272886817,0.030418544409305956
7,62,0,0.07791620615232249,0.03132286554404246
7,101,0,0.08278805084228195,0.03349606984828671
8,9,0,0.07870461912889772,0.030415192433282064
8,40,0,0.06677477680019601,0.026899764476003528
8,59,0,0.07824560806890617,0.030453284168188037
8,64,0,0.14511540303290038,0.056167310140943026
8,71,0,0.06713994154270768,0.02764954320588901
8,73,0,0.07513639368784557,0.029380235944145468
8,75,1,0.07414559574334158,0.0296577992621861
8,78,0,0.11351625342179104,0.04428615308128822
8,86,0,0.07563465893750043,0.030549763815380267
8,95,0,0.08032186593128131,0.03100240284869985
8,97,0,0.07793244881950598,0.031227680986714416
9,10,0,0.07101112513659251,0.028032571949000117
9,20,0,0.07465020162155431,0.029313830740837956
9,25,0,0.06768452853028559,0.026917319325385478
9,31,0,0.07288819217578918,0.028676466130314653
9,37,0,0.06502528538475022,0.026019021906702685
9,46,0,0.08633974306617744,0.03413866508622888
9,56,0,0.070480478327926,0.028123601119903016
9,57,0,0.07867012761790225,0.031603292228753965
9,58,0,0.07979361526696409,0.03131184119331423
9,63,0,0.06946667695186487,0.0273113474505107
9,64,0,0.0751942613972323,0.02943725273548587
9,66,0,0.06364455908418448,0.026022954277932102
9,76,0,0.07699724955634327,0.029714665280220858
9,78,0,0.09086705417917805,0.03585575089987748
9,85,0,0.09705133897457824,0.037954743554401586
9,90,0,0.07210141980156075,0.02840893453437859
10,32,0,0.06841786930665296,0.027634705213240657
10,69,0,0.0897412401999212,0.03537669216152196
10,70,0,0.07635532016056606,0.03048780877902357
10,72,0,0.07814280968862095,0.030631793524899916
10,85,0,0.0741978010053792,0.029306186139933507
10,91,0,0.08436094085961984,0.033256465502449546
