,acc_0,acc_1,acc_2,acc_3,acc_4,acc_5,acc_6,acc_7,acc_8,acc_9,acc_10,acc_11,acc_12,acc_13,acc_14,acc_15,acc_16,acc_17,acc_18,acc_19,acc_20,acc_21,acc_22,acc_23,acc_24,acc_25,acc_26,acc_27,acc_28,acc_29,acc_30,acc_31,acc_32,acc_33,acc_34,acc_35,acc_36,acc_37,acc_38
z_0,0.300937473209167,0.402290296125586,0.43164598108641644,0.3060119729426057,0.3817320801513715,0.0,0.43750651786135436,0.3688734045582544,0.3632161805709558,0.31913359227897725,0.0,0.0,0.0,0.32394302888771437,0.3650190257238435,0.42809680447161225,0.0,0.2853450532959656,0.45722813636829474,0.0,0.0,0.24774097228273168,0.3679931369313732,0.41366459221600793,0.40172481077619276,0.0,0.20853469123052726,0.38453891969534965,0.37799634161764134,0.3378908354253423,0.25126147668125154,0.45047159888436683,0.0,0.36228664315839615,0.3527667741098022,0.0,0.3386663843422016,0.0,0.0
z_1,0.2273651500690644,0.1749727570404008,0.17911004611901404,0.10763856183449948,0.15807002782104798,0.0,0.3692344481766228,0.1465567323384724,0.2598484603357958,0.04845291560750775,0.0,0.0,0.0,0.10259859200459348,0.1401912979879643,0.1967431888505128,0.0,0.06412728829598854,0.2136506556287459,0.0,0.0,0.1172702889175381,0.03298121075592984,0.09069522742330462,0.1009022746926731,0.0,0.08330294737228659,0.019926562910102936,0.1683958871130161,0.15472794945665863,0.02772940536490521,0.08398546431275362,0.0,0.17584749092305818,0.08198422732606768,0.0,0.15510100736415464,0.0,0.0
z_2,0.317363724317518,0.45876925963574844,0.48859690396124295,0.43767185300737127,0.43938467110638435,0.0,0.39931849582912826,0.38963201150072624,0.38176916909962694,0.3964352894807239,0.0,0.0,0.0,0.4575823835784525,0.3682101821993295,0.5135715444499401,0.0,0.4591321261602958,0.43508695898783273,0.0,0.0,0.49006000072201067,0.45523357835339284,0.4260866301020527,0.5136412009353883,0.0,0.42050597082851454,0.5093424099944901,0.5982422055618791,0.36919487689669495,0.4100715839146451,0.567996573376562,0.0,0.43651149181412996,0.41164276544283984,0.0,0.3058661117885989,0.0,0.0
z_3,0.029398897064554147,0.27862048563821284,0.35557910956166094,0.35148776769442486,0.28713381889123946,0.0,0.058947116375851455,0.3186838974075853,0.11171351638220837,0.31630263531823144,0.0,0.0,0.0,0.4069775944753635,0.3191616399229984,0.29913227433778017,0.0,0.49640499439301444,0.29030559033893133,0.0,0.0,0.6093261542884422,0.37185670511570484,0.42099460810838907,0.4424831608309625,0.0,0.5864362242512978,0.4926766519679596,0.39672339756492214,0.17196953504531842,0.5974767906000144,0.4206944982110345,0.0,0.26394836558028645,0.3713003762524649,0.0,0.17096079945367343,0.0,0.0
z_4,0.15652825543185983,0.13866486262160063,0.22384916784037936,0.00521691927924075,0.11976032472860973,0.0,0.01932697887531998,0.12649735695087214,0.07395897594432965,0.0979686455220354,0.0,0.0,0.0,0.07296610244253074,0.15076445556635643,0.18300177482761898,0.0,0.07600440622904912,0.14975901743859596,0.0,0.0,0.010855490337882941,0.09760850896987047,0.0166058165567301,0.13761253689853098,0.0,0.021871242664731824,0.10137576175797551,0.04254514974668479,0.14729495936064124,0.0827893622744947,0.057115705281356566,0.0,0.11072798857026502,0.013639042457531034,0.0,0.15334634942209888,0.0,0.0
z_5,0.07594534519860392,0.10507551715143716,0.037609436330500366,0.12551145607926562,0.13238005619671547,0.0,0.19396448804336813,0.1688353857838305,0.1080087291965958,0.10877072235367691,0.0,0.0,0.0,0.16099748706132588,0.173197879609221,0.10582657628657226,0.0,0.23837922177687668,0.15888473991682484,0.0,0.0,0.12913583593277767,0.056463831792107594,0.06529525731670624,0.14779163825858352,0.0,0.025176594885067904,0.061067345659793035,0.04705173927000272,0.08302438288992452,0.06254979711317005,0.04715516279742331,0.0,0.19301812144953293,0.034493223469256304,0.0,0.08705815227825636,0.0,0.0
z_6,0.02327191370446074,0.11576975957853723,0.10513806308294855,0.19177857350312894,0.0877131966699237,0.0,0.061772786228295046,0.15712379244286043,0.10557605097624494,0.12970686902091177,0.0,0.0,0.0,0.2601450811806771,0.10743171085097768,0.0763073761884241,0.0,0.2796699932858532,0.1392440673703143,0.0,0.0,0.23222079889036995,0.11266878050273785,0.08653051033976049,0.20016976008028625,0.0,0.40040481017925283,0.158461206264179,0.21460694347419237,0.053418170249656186,0.26907165948304873,0.21239896836455988,0.0,0.1708008490763314,0.3280958144213176,0.0,0.03510564486063826,0.0,0.0
z_7,0.27014160604192344,0.36709651392708526,0.2650385137884218,0.31672799839819205,0.35690641402064566,0.0,0.38394696435341136,0.34299357661231894,0.326183132028303,0.3292769575844652,0.0,0.0,0.0,0.3439442940495225,0.3595303122392033,0.3694328488260856,0.0,0.37069507232443893,0.2691425904992981,0.0,0.0,0.27781813209170886,0.2816716926747257,0.28774289171044193,0.4261555428839728,0.0,0.31695698535575023,0.3435509778204761,0.38782313931259216,0.28896627332256053,0.446081171925188,0.38875948794403614,0.0,0.288197558718928,0.3484196848649102,0.0,0.2904226126673262,0.0,0.0
z_8,0.09510416927478892,0.32149634371561314,0.3758955554908685,0.4380017705833707,0.29013422749235085,0.0,0.05003199104199476,0.38641718885217946,0.08221179108595093,0.2970254218990065,0.0,0.0,0.0,0.4778402662417104,0.36261212653126307,0.3348517922051867,0.0,0.5041878587934616,0.13496459453525883,0.0,0.0,0.4347794622930567,0.28830697003862604,0.3586089580133341,0.494731066275922,0.0,0.5529183686831632,0.4274690851473447,0.4203728783415361,0.21736027510480735,0.5828302437813331,0.46360038406736487,0.0,0.3220703409356908,0.3741606683593078,0.0,0.23322691531403156,0.0,0.0
z_9,0.19533714164473598,0.0029890240261672024,0.026294612719535006,0.1415125805261742,0.062254152252876775,0.0,0.046021157980394925,0.02405860933940025,0.04847589855736089,0.055366526281309426,0.0,0.0,0.0,0.18432781775601398,0.047477196816020466,0.026705913301359976,0.0,0.186727519373711,0.041182223495984896,0.0,0.0,0.37531929839832845,0.21178370837618124,0.23443733006050155,0.08537385198944583,0.0,0.3704160846786378,0.1624777870818243,0.2586982110238366,0.005304076900386764,0.4714537138069695,0.21493090083396219,0.0,0.03211272021833753,0.17861828409679859,0.0,0.07784641527993227,0.0,0.0
