i,j,same_concept,MI,NMI
0,1,0,0.028920134978806192,0.01084729619828864
0,3,0,0.019175942600328465,0.007497333694284022
0,4,0,0.02563640805255992,0.009677549962976099
0,5,0,0.018260519538826934,0.006863934344445583
0,6,1,0.024608937461842863,0.009548005016464717
0,7,1,0.023059646725057614,0.00872785647760776
0,10,0,0.022435829849183304,0.008491844025061751
0,11,0,0.027453241764540753,0.010424507737810586
0,13,0,0.017999877087686494,0.006982676943579323
0,14,0,0.03137412848661241,0.011773334877970103
0,15,0,0.016767681822049022,0.006346292708253139
0,17,0,0.02750773071940465,0.010660304566081023
0,18,0,0.021909192352593684,0.008318207183873971
0,19,0,0.029237075227017663,0.011047395652012963
0,21,0,0.03159107497330461,0.011964184003018212
0,22,0,0.017346715198099966,0.006524920220435726
0,23,0,0.023418373841648358,0.008871840120520095
0,25,1,0.03163166024169495,0.011851405128193116
0,26,0,0.018178877223663598,0.006946339971026982
0,27,0,0.017219582555480707,0.006502212696987337
0,29,0,0.017441232739221615,0.006834940635714802
0,30,0,0.03656590271715499,0.013839756275730447
0,31,0,0.01590470402654544,0.006095267745328807
0,33,0,0.024080638835035736,0.00898521471652163
0,34,0,0.027347747242408845,0.010388510431183806
0,35,0,0.026873463466866847,0.009957994759788025
0,36,0,0.0165091259056216,0.006324961414117517
0,37,0,0.020250991486111394,0.007623319125078043
1,3,0,0.015443459785169322,0.005990341898721518
1,4,1,0.025878003442848903,0.009691609385075019
1,5,0,0.01725865259211296,0.006436114573618834
1,7,0,0.016708007350998515,0.006273884121776578
1,8,0,0.017651860475515285,0.006609848704485286
1,9,0,0.016459527944087993,0.006202992786928873
1,11,0,0.01927541565386885,0.007261436807043883
1,12,0,0.018853694117671523,0.007201979016893407
1,13,0,0.016775241699935415,0.006456216499510012
1,14,0,0.018941763003555774,0.0070518832539505525
1,16,0,0.016793705273638694,0.006362728236017481
1,17,0,0.019127175682187105,0.007353982367792891
1,18,0,0.019930099081335473,0.00750705697031054
1,19,0,0.017492155529465217,0.006557317344527411
1,20,0,0.018187376743032155,0.006738478140828479
1,23,0,0.016831087829859117,0.006325954259710844
1,26,0,0.014701643814169295,0.005573291569584505
1,28,0,0.026124448132514445,0.009808072642535396
1,30,0,0.019760976009477273,0.0074202309466443505
1,31,0,0.018743371752101747,0.0071264263930719066
1,33,0,0.02649436060480742,0.009807781627224309
1,34,0,0.016448096833383982,0.0061987520639850665
1,35,0,0.026165895459464645,0.009619239592535097
1,36,0,0.04124539555842965,0.015677115670286217
1,37,0,0.01582099388809894,0.005908652664738063
2,3,0,0.017000103640034885,0.006698388782007396
2,4,0,0.015857910808548547,0.00603285489087802
2,5,0,0.02987089764354035,0.011315582792199892
2,6,0,0.023586641788193176,0.009222624978688369
2,7,0,0.017972452331426438,0.006855370774483597
2,9,1,0.021137082074666184,0.008091717408269375
2,11,0,0.017143839899685796,0.006560526371351749
2,14,0,0.017131196628616962,0.006478645072336419
2,15,0,0.020101681681259982,0.007667400132730638
2,18,0,0.014765552265665458,0.005649652319001463
2,19,0,0.0268910880006397,0.01024007219980657
2,21,0,0.016298448610676787,0.006220619089266162
2,22,0,0.01881414577645483,0.007131996548605905
2,23,0,0.025934923093796376,0.009901719026275967
2,24,0,0.014529825294942107,0.005515218580780029
2,27,0,0.03758737779784363,0.01430372803139646
2,28,0,0.023549290229528754,0.008981029932710985
2,30,0,0.021296343321533934,0.008123175644844948
2,32,0,0.021944990324487886,0.00827359908061478
2,34,1,0.015480976263562561,0.005926506014287728
2,37,0,0.02290607087176202,0.00868994587234378
2,38,0,0.01580884194458001,0.005898374388390392
3,4,0,0.02331140566059364,0.009100442999324547
3,7,0,0.017674953927700177,0.006918294769082121
3,9,0,0.023588608833651905,0.009266487954175609
3,10,0,0.01920141406652363,0.007515863935762782
3,11,0,0.036693619672526726,0.014409147991545763
3,12,0,0.015367934890909526,0.006119273200978925
3,14,0,0.019044294153715082,0.007390580172210144
3,15,0,0.05640500970267692,0.022077534813743034
3,16,0,0.015506922373652025,0.006124228640402219
3,17,0,0.013403302823055657,0.005371709319070153
3,19,0,0.019268819788386394,0.007529513620647465
3,21,0,0.02054471753098599,0.00804645671219528
3,22,0,0.019162980482751512,0.007454299541257697
3,24,0,0.02812838460993294,0.010956309499277155
3,25,0,0.015510022069740101,0.006009607360464143
3,26,0,0.014153159036470176,0.005592785852031583
3,27,0,0.016127515632005436,0.006297843288413571
3,28,0,0.014936691943742324,0.005845476370720701
3,29,1,0.014611632909521402,0.005921641993445986
3,30,0,0.01817550061097236,0.007114171810862777
3,32,0,0.01408921405402899,0.005450834665276636
3,33,0,0.018516754651543295,0.007145146752332031
3,34,0,0.019246245233922175,0.007560727111080078
3,36,0,0.020865202024064857,0.008266891164896118
3,37,0,0.019046549771184543,0.007414808695753978
4,5,0,0.027503442415378457,0.010322645135911378
4,9,0,0.015807413453075916,0.005995587923953161
4,10,0,0.018732175396779467,0.007079328062209364
4,11,0,0.01910438772859527,0.007243342094664399
4,12,0,0.017540532775885263,0.0067434980819489464
4,13,0,0.045716299655079645,0.017707915167053796
4,14,0,0.021704821300249193,0.00813257342154496
4,15,0,0.04645889774499854,0.017557388876275986
4,16,0,0.01617245014208041,0.006166798112888079
4,17,0,0.016366086498971155,0.006332914759847291
4,19,0,0.01644861950295175,0.006205823065609336
4,20,0,0.01969533297852391,0.007344160362917718
4,21,0,0.017096192319715767,0.006464903192021
4,22,0,0.028202157792867038,0.010592153059076053
4,23,0,0.033068101189987514,0.012508642543230013
4,25,0,0.016848846618897507,0.006303213037074702
4,26,0,0.01718002284540573,0.006554758075767447
4,28,0,0.016529944643882646,0.006245899773517466
4,29,0,0.01681346584472498,0.006578983047370519
4,30,0,0.01783463778859524,0.006740007626280394
4,32,0,0.016241700720286266,0.006066886527077167
4,33,0,0.021448642596235627,0.007991056844234295
4,34,0,0.024838530730232858,0.009421099210640386
4,37,0,0.028115853251390283,0.010568005463628192
4,38,0,0.020626758210971975,0.0076249771309403
5,6,0,0.017790421586132563,0.006862805838436031
5,7,0,0.018274023869403796,0.006876775247482982
5,8,0,0.01897520135954075,0.007120758113990849
5,10,0,0.02686064167809413,0.010108156344671448
5,11,0,0.025523518433666185,0.009636030360041695
5,12,0,0.03485821875234731,0.013344410500586115
5,13,0,0.014003488958686723,0.005401126633789686
5,14,0,0.01803964925894078,0.006730566384156411
5,15,0,0.02510310919331575,0.009446486020600848
5,16,0,0.014843579592584302,0.005636043026023474
5,17,0,0.01882320576039147,0.007252773825480263
5,18,0,0.02482913506534749,0.009372612290076235
5,19,0,0.02663132092585952,0.010004937672117976
5,20,0,0.028361742523100714,0.010530851246824013
5,21,0,0.027924094605122848,0.010514617448201176
5,22,0,0.017233919606447767,0.006445219565201579
5,23,0,0.024144881666201625,0.009094477435478216
5,24,0,0.020548412074894138,0.007694982520793077
5,25,0,0.02786421327603149,0.010379832349044224
5,27,0,0.017580722524580344,0.006600410838561904
5,28,0,0.016965971809023202,0.006383429954430161
5,29,0,0.018186985718446482,0.007086209559860698
5,30,0,0.018265397014605788,0.006873484463105644
5,32,0,0.020673153224615427,0.0076894067833299315
5,34,0,0.018116611942545484,0.006842336065687248
5,35,0,0.017491343411513992,0.006444171858698471
5,36,0,0.022769238505011086,0.008673172884525087
5,37,1,0.01692338288705871,0.006334038314047016
6,7,1,0.019923587192163177,0.007738877325610086
6,8,0,0.022147014475500843,0.008578568325107653
6,9,0,0.017489904447602074,0.006818203034665705
6,10,0,0.017692441526130635,0.0068723160033490275
6,11,0,0.026267756474161238,0.010236238210349333
6,12,0,0.01819485065326395,0.007189562812544585
6,14,0,0.022226717664924876,0.00855970190570981
6,15,0,0.020433540770348015,0.007936813669607365
6,16,0,0.020165769882637442,0.007903332368911638
6,17,0,0.016816276949143054,0.006688060311820166
6,18,0,0.015349385962342414,0.005980670180839738
6,19,0,0.018505316703169614,0.00717592657408235
6,20,0,0.04231991991079393,0.016219415153621665
6,21,0,0.02250688526161178,0.008747612924375236
6,22,0,0.01723091000639125,0.006651531515927536
6,23,0,0.021376847068373436,0.008311053991554523
6,24,0,0.023675838773701968,0.00915154732739292
6,26,0,0.0159700750931201,0.00626255305122001
6,27,0,0.01636243777321567,0.006340770610767866
6,28,0,0.03087079432451972,0.011988999590545522
6,29,0,0.01876116356072348,0.00754523586349111
6,30,0,0.0180750160040019,0.007020795355965857
6,31,0,0.024816310568828878,0.009760226420020605
6,32,0,0.016053084074310765,0.006163173276821154
6,33,0,0.021106383657848327,0.008082203198070806
7,10,0,0.025846372183217812,0.009793774865343228
7,11,0,0.03041421176975118,0.011561898132784182
7,12,0,0.015937714892806962,0.006143490785624791
7,13,0,0.01746739794913098,0.0067837725234231325
7,16,0,0.018686938388304528,0.0071444493794738185
7,17,0,0.017526350108683465,0.006799813214625064
7,18,0,0.0359079062920488,0.013648474097149614
7,19,0,0.024367726941821148,0.009217892820262929
7,21,0,0.02980607688594479,0.011300929055932761
7,24,0,0.01786186238437733,0.006735208827396999
7,26,0,0.04420833116213211,0.016911563125171614
7,27,0,0.01775009059369199,0.006710112146557186
7,29,0,0.02686329088915791,0.01053919490291891
7,30,0,0.017266738292564348,0.006542641150957043
7,31,0,0.018718169118425738,0.007181600036911959
7,32,0,0.03700824374981002,0.013860520649696608
7,33,0,0.022133794001866807,0.008268123805000012
7,36,0,0.022562153977046952,0.008653763283595723
7,37,0,0.027603110150194326,0.0104027097105929
7,38,0,0.018119371011228656,0.006715794295393107
8,9,0,0.019170941981799687,0.007270266214861634
8,11,0,0.04719874495298453,0.017892549244680134
8,12,0,0.015737807613328783,0.0060495432660716475
8,13,0,0.017426678136782857,0.006749115639223279
8,16,0,0.016349617931198705,0.006233434717011549
8,17,0,0.02405485936988771,0.009306738684121465
8,19,0,0.014822284763666612,0.005591405441413697
8,21,0,0.017793107981483623,0.006727447898226756
8,23,0,0.01831859968534774,0.006928338428725489
8,26,0,0.01948334667588442,0.007432456666389491
8,32,0,0.022696919927528023,0.008476902564664705
8,34,0,0.02220345296626768,0.008420387754295622
8,38,0,0.018165641958210854,0.006714199093865308
9,10,0,0.015386171613319637,0.005851310707504018
9,11,0,0.028511997533106515,0.01087808086909909
9,12,0,0.0325701481380373,0.01260030207192833
9,15,0,0.016978308645029916,0.006456604967537708
9,16,0,0.021791966141700952,0.008361786804960785
9,18,0,0.017272038747891436,0.00658885098463099
9,20,0,0.01580650389802892,0.005931074941328064
9,23,0,0.016089744530837346,0.006124474597085491
9,24,0,0.023971098545133594,0.009071609124290865
9,25,0,0.0516518762414692,0.019444495331127336
9,26,0,0.017803889726340585,0.006835441818371093
9,28,0,0.019713278320911517,0.007495510731994392
9,30,0,0.016983389040602228,0.0064586123346939295
9,31,0,0.016449942190858872,0.006334236709682083
9,32,0,0.01651003307243713,0.006205847179517859
9,33,0,0.020489411233062443,0.0076816170327815465
9,34,1,0.017841663861182803,0.00680972843041223
9,35,1,0.018439646808392694,0.006865363970931343
9,36,0,0.01731960093724561,0.006667060541890164
9,37,0,0.017679685044048692,0.006687057387728254
9,38,0,0.01563332530912654,0.005815374634889328
10,12,0,0.024563088589024066,0.009468410028130687
10,13,1,0.020001671677807618,0.007768090571351421
10,14,0,0.06187120035606901,0.023244057676006805
10,15,0,0.01779928810853126,0.006744430500715358
10,16,1,0.015596906554198296,0.005963126252497343
10,17,0,0.016645574139818098,0.006458166003412572
10,18,1,0.01764221204355882,0.00670582134377017
10,19,0,0.02081229307536759,0.00787302249090514
10,20,0,0.04233325723329284,0.015827493126202533
10,24,0,0.01805140200628393,0.006806756100173072
10,25,0,0.016583562118666528,0.006220442145519154
10,26,1,0.01696238273005032,0.0064889049526760615
10,27,1,0.02720869191463688,0.010285888027438387
10,28,0,0.017834717508468174,0.0067568063283085615
10,29,0,0.01649843137313772,0.006472853835884268
10,30,0,0.038979747019213196,0.014770212207621643
10,31,0,0.018363254715879573,0.007045509915096863
10,33,0,0.03631901545980008,0.013567195993944244
10,36,1,0.017670569350807578,0.006777662201137213
11,12,0,0.023764546061326445,0.009190214663276252
11,16,1,0.02083880458011951,0.00799301055952691
11,17,0,0.01862965236062015,0.007251322588214255
11,19,0,0.01850070286191594,0.007021207978627927
11,20,0,0.015800043707072203,0.005926397628132392
11,21,0,0.03823887144202095,0.01454525610261439
11,22,0,0.017102870490086918,0.006461369711285637
11,24,0,0.0200146719548212,0.007571462538531722
11,25,0,0.01599020894864785,0.006017271711408389
11,26,1,0.013801389379778223,0.0052967492521483455
11,28,0,0.01586675174412489,0.006030666512353334
11,31,0,0.017266151651507508,0.006646000561349182
11,32,1,0.0286791937979732,0.01077593546930136
11,33,0,0.01801283948699607,0.006750567144464827
11,34,0,0.022698663989687996,0.008660234373034698
11,35,0,0.016638014485363655,0.006192234233027349
11,36,1,0.0193145489596063,0.007432176217008216
11,37,0,0.01810459186174795,0.006845168999975264
11,38,0,0.01648249345606497,0.00612892284937502
12,16,0,0.01607249982723164,0.006251116590342718
12,17,1,0.015775770321223306,0.006226437520095313
12,18,0,0.017214741155588957,0.006656379481263794
12,20,0,0.015757938222403206,0.005993333939964561
12,21,0,0.022365657895172184,0.008626498841529582
12,23,0,0.01493142230451679,0.005760926868982179
12,24,0,0.015577878298288439,0.005975526721066874
12,26,0,0.014715956888249997,0.005726795783682347
12,28,0,0.01707189456252231,0.006579540900460039
12,29,0,0.019933760956415705,0.00795574815317694
12,30,0,0.016477041751509804,0.006351343422032808
12,31,0,0.016651559840611087,0.006499146542971837
12,32,0,0.016768675363941846,0.006388860197157654
12,37,0,0.01635498446129046,0.0062702110128120036
12,38,1,0.023634606325298103,0.008911405373754662
13,14,0,0.023489662147237713,0.009044669712611773
13,17,0,0.0283498977041761,0.011273388144153726
13,18,1,0.01487259830517692,0.005793997835975366
13,20,0,0.015572324643225497,0.0059672802728180825
13,21,0,0.015765014288242334,0.006126340958448889
13,22,0,0.01663358995820369,0.006419956191336546
13,23,0,0.014543707770858763,0.0056535368498246965
13,24,0,0.013607552324150337,0.005258983441050911
13,25,0,0.017285829353145925,0.0066454775296832785
13,26,1,0.021714905642429682,0.008514027340457222
13,27,1,0.015193499445256995,0.005886870506235896
13,28,0,0.016937132986179864,0.0065766945655636455
13,34,0,0.017088657280496956,0.006660821237391759
13,37,0,0.028246276819318784,0.010910562358592482
14,15,0,0.017245618755455338,0.006478722634530739
14,16,0,0.014994499664023437,0.005683756560905702
14,18,0,0.020773091519188026,0.00782831028480636
14,19,0,0.023199335051070444,0.008700917519642646
14,20,0,0.06541087173611466,0.024246460017046393
14,21,0,0.017717310998321644,0.006660088799189351
14,22,1,0.01927446101828217,0.007196208400773497
14,23,1,0.018526164137684056,0.006966361566151745
14,24,0,0.015607966254333163,0.0058350357877040935
14,25,0,0.024105686006135496,0.008964599337645976
14,28,0,0.017491968071216193,0.0065702495851821165
14,30,1,0.044136166835997505,0.01658098348985658
14,31,0,0.015266918096085859,0.005807404854192764
14,32,0,0.07153076467234394,0.026561146426476313
14,33,0,0.0571584590150413,0.02116920258570053
14,35,0,0.01709844083550323,0.006288807379666774
14,37,0,0.017547476574222873,0.00655655958511957
14,38,0,0.016875951856238854,0.006201481111670332
15,16,0,0.05399203567095852,0.020642031673763682
15,17,0,0.017471992334468316,0.006778600806534835
15,19,0,0.024594511140011866,0.009303512759156956
15,20,0,0.022368313645625654,0.0083627843067654
15,21,0,0.01552022046001221,0.005884361501273113
15,23,0,0.018573952939988765,0.007044401372922075
15,24,0,0.019595185698665182,0.007388662656762478
15,25,0,0.025520589729913067,0.009572411127731283
15,26,0,0.018365194138596972,0.007025338944910714
15,29,0,0.020956465779541175,0.00822163878001331
15,30,0,0.015199846920741228,0.005759358818929273
15,31,0,0.08300908378453084,0.03184751832936623
15,32,0,0.01775510047474334,0.006649612392536992
15,36,0,0.026041550612753858,0.009988112399961996
15,38,0,0.019384288003395988,0.007184495044952358
16,17,0,0.01721179343446435,0.006737777062566249
16,18,1,0.03919795582437162,0.01503288888626294
16,20,0,0.01579376019074615,0.0059579393053567015
16,22,0,0.021305977547442952,0.00809533986024718
16,23,0,0.018775360453476192,0.007184903159380807
16,25,0,0.014916948900265433,0.005645514438193046
16,28,0,0.01649507621852226,0.006305356551465308
16,29,0,0.016746188950935905,0.006629018330604735
16,31,0,0.03170798564319169,0.012274717679991795
16,32,1,0.016495192467179714,0.006233378048434909
16,33,0,0.018920811503214677,0.0071314177569830875
16,35,0,0.03407681123958395,0.012755070493912144
16,36,1,0.01461269674962225,0.005655094097989376
16,37,0,0.023710632744642513,0.009016056331539303
17,19,0,0.015016483003151783,0.00581627276746522
17,20,0,0.017332476339368248,0.006635078136566668
17,21,0,0.027093229325482523,0.010517923462484386
17,23,0,0.02038137147498439,0.007914817958710576
17,24,0,0.016197372329464922,0.006253581211301936
17,25,0,0.01720328966740756,0.006607085286371209
17,26,0,0.014753235638958941,0.005778655591025071
17,27,0,0.01728424799725651,0.006690207621001438
17,30,0,0.015793131720876805,0.006127325529153949
17,31,0,0.015275722532019646,0.006000943127655827
17,32,0,0.020476279885700867,0.007852212199884379
17,33,0,0.016502171961949984,0.006311783849028464
17,34,0,0.01539907987357558,0.005996212953013182
17,35,0,0.04874637460123557,0.018515742253053247
17,36,0,0.016067825846821374,0.006310175969760681
17,37,0,0.031024748810836823,0.011971722378377963
17,38,1,0.017971278838800543,0.0068201378414775695
18,19,0,0.021163519537401823,0.008030691572635858
18,20,0,0.016685433462500694,0.006257652404042313
18,21,0,0.01499388151524237,0.0057025857478632475
18,22,0,0.017109068842252745,0.006462839963816621
18,23,0,0.020430441292037096,0.007772733720340901
18,25,0,0.04110818770490029,0.015467326682352702
18,26,1,0.024093609418341943,0.009245489600168912
18,27,1,0.035994784538833334,0.013649514413441621
18,29,0,0.01770471373430279,0.006967637515233995
18,30,0,0.03323046766271626,0.012630707157134933
18,32,1,0.033394649132373035,0.012546031445196105
18,33,0,0.015923011699333228,0.005966569999380489
18,34,0,0.024658994816687443,0.009406892097782536
18,35,0,0.018412209978591113,0.006851619561430607
19,20,0,0.016029249147723107,0.005982872385181397
19,21,0,0.01717676479239656,0.006501622301174233
19,22,0,0.024750880279980216,0.009304869691511734
19,25,0,0.018623648763645122,0.006973877552174156
19,26,0,0.01982624739378958,0.007571661458875157
19,27,0,0.017589249414402753,0.006638157437687725
19,28,0,0.014261612488681408,0.005393988049180485
19,30,0,0.019437580809593992,0.007352855695351675
19,33,0,0.01975861691499442,0.007368493164576783
19,35,0,0.03691052071720955,0.013669735507213699
19,37,0,0.0192285046967998,0.0072344415193863615
19,38,0,0.018503326328666303,0.006846602467824803
20,21,0,0.016936232135180546,0.006335867030623175
20,24,0,0.022843482975772048,0.008498975438217137
20,26,0,0.014573489948955637,0.005500765375369829
20,27,0,0.02218073274346646,0.008273418995122303
20,28,1,0.03728993350017648,0.013939328272473048
20,29,0,0.020441115960104207,0.007912846637312515
20,30,0,0.02309437449685231,0.008634335578300558
20,32,0,0.017974532071467497,0.0066423015352189835
20,33,0,0.02835792485742553,0.01045214630438055
20,35,0,0.0199178309077796,0.007290559681503674
20,36,0,0.05000824815019866,0.018925441463874933
20,37,0,0.01738383498341886,0.006464187979630555
20,38,0,0.04241276409737656,0.015510677567366082
21,22,0,0.024370076834617085,0.00918267557522891
21,23,0,0.01671058417252358,0.006341660511735635
21,24,0,0.0187143689517995,0.0070609518008987225
21,25,0,0.016230725606563415,0.006091723427186165
21,29,0,0.05095996749384478,0.020005117036247903
21,30,0,0.015394852541337207,0.005836897417118491
21,31,0,0.01844299142936197,0.007080320956175944
21,34,0,0.019032797126738447,0.007242503704230432
21,37,0,0.02686204221748296,0.010129574932259137
21,38,0,0.02191226111225848,0.00812653097404543
22,24,0,0.02055938173729878,0.007704374557605305
22,25,0,0.016705680673706834,0.006227384707408231
22,26,0,0.017601270046766142,0.006691548770660647
22,27,0,0.01838233382760686,0.0069061000332561
22,29,0,0.021387354147405453,0.008338890928779662
22,30,1,0.01747839808239799,0.006581841688749155
22,31,0,0.01847564494415207,0.007044666961260723
22,33,0,0.017116066194622637,0.006354158972504495
22,34,0,0.033289933110218425,0.012581670532960849
22,36,0,0.014908649508863319,0.005682844449823824
22,37,0,0.017744496690291805,0.00664592074502439
22,38,0,0.03520584760252526,0.012967972580933304
