mode,rho,auc,accuracy,rmse
missing,0.0,0.8063164730381653,0.7696168929769175,0.3990282279691905
missing,0.1,0.8063164714802239,0.7696168929769175,0.3990282279691905
missing,0.2,0.8063164711513251,0.7696168929769175,0.3990282279691905
missing,0.3,0.8063164713936717,0.7696168929769175,0.3990282279691905
missing,0.4,0.8063164722418843,0.7696168929769175,0.3990282279691905
false,0.0,0.806316471895675,0.7696168929769175,0.3990282279691905
false,0.1,0.7944669927163273,0.7519772560928982,0.40984447073427704
false,0.2,0.7926693508778102,0.7504670038561956,0.41020175136492665
false,0.3,0.78799980584227,0.7417878327743852,0.41487364221266215
false,0.4,0.7919432783960942,0.7495084169934784,0.4112942303986723
