mode,rho,auc,accuracy,rmse
missing,0.0,0.7890393057329399,0.742868560771851,0.458244457803438
missing,0.1,0.7888669375786073,0.7427163219090753,0.45840370295474464
missing,0.2,0.788450389194334,0.7424499038992178,0.4586402089697307
missing,0.3,0.7883420536016359,0.7420122171687378,0.45892447222755
missing,0.4,0.7885300460361299,0.7421263963158196,0.4587569627051557
false,0.0,0.7890393025106084,0.742868560771851,0.458244457803438
false,0.1,0.7890393089552716,0.742868560771851,0.458244457803438
false,0.2,0.7889353162599363,0.7428114711983101,0.4583332719224831
false,0.3,0.7885674653613938,0.7425260233306057,0.45874034806473946
false,0.4,0.7885982926018648,0.7422405754629013,0.4588464570308884
