mode,rho,bucket,auc,delta_auc
missing,0.0,2,0.7894506869713667,0.0
missing,0.0,3,0.7382385120350109,0.0
missing,0.0,4,0.7530389363722697,0.0
missing,0.1,2,0.7890815682669218,-0.0003691187044448929
missing,0.1,3,0.7343349001809979,-0.0039036118540130005
missing,0.1,4,0.7469610636277303,-0.006077872744539414
missing,0.2,2,0.7894040077379139,-4.667923345280656e-05
missing,0.2,3,0.7368033606180944,-0.0014351514169165247
missing,0.2,4,0.7439696106362773,-0.009069325735992395
missing,0.3,2,0.7892011268413114,-0.0002495601300552819
missing,0.3,3,0.7390219358673041,0.0007834238322932396
missing,0.3,4,0.7422602089268756,-0.010778727445394098
missing,0.4,2,0.7886274215589376,-0.0008232654124290528
missing,0.4,3,0.7309040440878515,-0.007334467947159418
missing,0.4,4,0.7357549857549858,-0.01728395061728394
false,0.0,2,0.7894506911829255,4.211558879418931e-09
false,0.0,3,0.7382385120350109,0.0
false,0.0,4,0.7530389363722697,0.0
false,0.1,2,0.7894506827598078,-4.211558879418931e-09
false,0.1,3,0.7382385120350109,0.0
false,0.1,4,0.7530389363722697,0.0
false,0.2,2,0.789450678548249,-8.423117647815559e-09
false,0.2,3,0.7358612259232246,-0.0023772861117863364
false,0.2,4,0.74002849002849,-0.01301044634377968
false,0.3,2,0.7889465574831832,-0.0005041294881834579
false,0.3,3,0.7310728854310182,-0.00716562660399267
false,0.3,4,0.7531339031339032,9.496676163345263e-05
false,0.4,2,0.7891774814654139,-0.00027320550595277826
false,0.4,3,0.7309141745684415,-0.007324337466569353
false,0.4,4,0.7495726495726496,-0.003466286799620133
